Country_of_residence,2024_01_total,2024_02_total,2024_03_total,2024_04_total,2024_05_total,2024_06_total,2024_07_total,2024_08_total
USA,5485.90,5623.70,5724.00,5758.30,5854.30,5991.70,6076.50,6200.10
China,1586.60,1728.50,1719.40,1827.50,1813.00,1722.00,1661.30,1658.30
India,865.00,898.00,886.40,932.30,945.40,1000.10,1038.10,1040.80
Germany,523.70,538.90,536.40,546.40,554.80,536.50,551.20,572.10
France,512.60,534.30,528.50,513.70,512.60,485.00,471.90,488.90
Russia,440.00,448.10,453.90,488.50,489.30,488.50,487.40,502.60
UK,394.70,392.20,404.80,410.10,414.90,409.00,408.70,418.30
Switzerland,382.40,392.10,414.60,427.50,442.80,439.60,440.90,449.90
Italy,221.50,229.60,245.60,279.20,286.10,278.90,283.00,292.80
Canada,215.00,216.80,214.50,224.10,222.40,216.70,218.50,224.40
Australia,195.60,191.30,192.00,192.80,193.30,196.20,192.50,200.30
Mexico,181.70,182.70,190.30,202.40,201.00,184.70,181.90,174.30
Spain,170.80,173.40,186.30,179.10,185.70,188.40,187.10,201.70
Indonesia,159.70,166.70,162.70,192.80,186.90,192.70,195.20,219.30
Japan,158.00,163.50,172.90,158.30,161.30,161.50,166.40,189.70
Taiwan,142.00,146.60,172.90,174.10,179.40,211.10,205.30,209.80
Brazil,132.00,136.00,143.70,150.60,147.30,137.80,134.70,141.40
Singapore,130.40,125.00,129.20,132.50,136.20,135.70,133.70,139.20
Sweden,104.30,108.30,100.20,107.20,112.90,111.50,114.20,119.60
"South Korea",89.40,94.40,103.60,97.60,96.70,98.30,100.80,103.80
Thailand,81.40,80.10,81.50,81.10,80.90,74.70,79.00,86.90
Israel,79.40,80.80,84.00,89.10,89.50,89.60,90.80,92.20
Austria,75.10,75.50,76.80,76.10,76.80,76.30,76.60,77.90
Monaco,63.10,62.90,68.80,70.50,71.00,70.30,71.70,71.40
"Czech Republic",50.80,50.50,55.10,54.70,55.90,55.10,55.30,56.60
Turkey,44.50,43.90,52.40,57.30,59.00,57.50,57.70,54.70
