ID;User_ID;Table_rank_2021;Person;net_worth_in_BillionUSD_2021;Age_of_person_2021;year
1;3;1;Jeff Bezos;177;57;2021
2;2;2;Elon Musk;151;49;2021
3;1;3;Bernard Arnault;150;72;2021
4;6;4;Bill Gates;124;65;2021
5;16;5;Mark Zuckerberg;97;36;2021
6;5;6;Warren Buffett;96;90;2021
7;4;7;Larry Ellison;93;76;2021
8;12;8;Larry Page;91,5;48;2021
9;14;9;Sergey Brin;89;47;2021
10;9;10;Mukesh Ambani;84,5;64;2021
11;13;11;Amancio Ortega;77;85;2021
12;11;12;Francoise Bettencourt Meyers;73,6;67;2021
13;15;13;Zhong Shanshan;68,9;66;2021
14;10;14;Steve Ballmer;68,7;65;2021
15;34;15;Ma Huateng;65,8;49;2021
16;8;16;Carlos Slim Helu;62,8;81;2021
17;21;17;Alice Walton;61,8;71;2021
18;19;18;Jim Walton;60,2;72;2021
19;20;19;Rob Walton;59,5;76;2021
20;7;20;Michael Bloomberg;59;79;2021
21;2612;21;Colin Zheng Huang;55,3;41;2021
22;60;22;MacKenzie Scott;53;51;2021
23;90;23;Daniel Gilbert;51,9;59;2021
24;24;24;Gautam Adani;50,5;58;2021
25;25;25;Phil Knight;49,9;83;2021
26;63;26;Jack Ma;48,4;56;2021
27;17;27;Charles Koch;46,4;85;2021
28;18;27;Julia Koch;46,4;59;2021
29;69;29;Masayoshi Son;45,4;63;2021
30;23;30;Michael Dell;45,1;56;2021
31;39;31;Tadashi Yanai;44,1;72;2021
32;28;32;Francois Pinault;42,3;84;2021
33;22;33;David Thomson;41,8;63;2021
34;106;34;Beate Heister;39,2;;2021
35;75;35;Wang Wei;39;50;2021
36;35;36;Miriam Adelson;38,2;75;2021
37;64;37;He Xiangjian;37,7;78;2021
38;27;38;Dieter Schwarz;36,9;81;2021
39;26;39;Zhang Yiming;35,6;37;2021
40;30;40;Giovanni Ferrero;35,1;56;2021
41;41;41;Alain Wertheimer;34,5;72;2021
42;42;41;Gerard Wertheimer;34,5;70;2021
43;33;43;Li Ka-shing;33,7;92;2021
44;85;44;Qin Yinglin;33,5;56;2021
45;2607;45;William Lei Ding;33;49;2021
46;40;46;Len Blavatnik;32;63;2021
47;47;47;Lee Shau Kee;31,7;93;2021
48;31;48;Jacqueline Mars;31,3;81;2021
49;32;48;John Mars;31,3;85;2021
50;250;50;Yang Huiyan;29,6;39;2021
51;79;51;Alexey Mordashov;29,1;55;2021
