Country_of_residence,2021_total,2022_total,2023_total
USA,4451.80,4734.90,4566.10
China,3129.00,2456.05,2104.50
India,578.00,710.80,635.30
Germany,558.50,520.30,477.30
Russia,483.50,247.00,422.40
France,411.20,455.80,496.50
UK,405.80,382.40,387.40
Switzerland,294.50,343.60,375.30
Japan,221.00,146.70,147.80
Italy,195.20,192.50,213.60
Australia,173.00,192.10,172.40
Canada,163.30,193.50,190.00
Singapore,157.40,107.30,124.50
Brazil,156.90,146.90,104.80
Spain,137.90,114.90,136.40
Mexico,136.10,160.90,168.90
"South Korea",123.30,119.90,86.40
Sweden,118.00,114.80,92.10
Thailand,105.00,94.70,100.70
Taiwan,104.30,201.40,136.90
Indonesia,75.10,103.80,125.00
Austria,67.40,69.00,76.00
Israel,65.20,79.20,73.60
Monaco,61.80,59.20,61.10
Denmark,60.20,57.30,40.90
Malaysia,54.60,53.10,40.10
Turkey,53.20,38.40,55.70
Philippines,42.20,44.20,41.40
"United Arab Emirates",41.20,37.50,39.30
Chile,39.00,35.70,36.40
"Czech Republic",38.70,44.20,51.10
Norway,27.90,30.40,27.10
Netherlands,27.10,22.80,25.90
Nigeria,22.50,28.20,28.50
Kazakhstan,22.20,21.70,26.30
"South Africa",22.10,25.00,25.60
Ukraine,18.90,10.90,12.60
Poland,18.70,19.40,20.20
Vietnam,16.70,21.20,12.60
Egypt,16.60,16.20,17.10
Finland,16.50,12.60,14.00
Ireland,13.90,13.90,19.00
Argentina,12.00,12.10,11.00
Peru,11.40,7.80,5.50
Colombia,11.00,9.90,6.40
"New Zealand",9.80,12.00,10.10
"Cayman Islands",7.10,7.20,7.00
Liechtenstein,5.50,2.30,2.30
Lebanon,5.00,6.40,5.60
Bermuda,5.00,3.50,4.60
Georgia,4.80,4.80,4.90
"British Virgin Islands",4.80,4.70,3.40
Algeria,4.80,5.10,4.60
Eswatini,4.70,5.30,6.50
Portugal,4.70,4.70,4.70
Cambodia,4.60,2.60,2.80
Phillipines,3.40,NULL,NULL
Uruguay,3.30,4.90,1.80
Morocco,3.20,3.30,2.80
Qatar,2.90,3.30,3.00
Slovakia,2.90,3.00,3.10
Belgium,2.70,2.30,8.90
Hungary,2.70,2.50,3.90
Guernsey,2.60,2.50,2.30
Oman,2.30,2.50,4.30
Columbia,2.30,NULL,NULL
"Turks and Caicos Islands",2.10,2.20,2.00
Bahamas,2.00,2.20,2.20
Romania,1.70,6.30,7.20
Tanzania,1.60,1.50,1.50
Nepal,1.40,1.50,1.80
Bahrain,1.40,1.50,1.50
Greece,1.40,1.40,10.60
,1.30,NULL,NULL
Armenia,1.00,NULL,1.20
Belize,NULL,3.60,3.90
Cyprus,NULL,NULL,9.80
Bulgaria,NULL,4.00,4.20
Barbados,NULL,1.70,1.40
Estonia,NULL,1.20,1.30
Bangladesh,NULL,NULL,1.00
Panama,NULL,NULL,1.00
"France ",NULL,NULL,NULL
