Business,2021_total,2022_total,2023_total
"Real estate",792.00,666.20,637.40
Diversified,390.50,380.10,395.10
Pharmaceuticals,371.40,312.20,275.90
Investments,343.00,379.30,363.80
"Hedge funds",246.20,284.90,286.25
Amazon,230.00,214.60,138.40
Retail,223.80,212.20,209.60
Walmart,223.00,240.90,223.70
Google,216.40,260.90,189.00
Software,203.20,200.60,175.60
E-commerce,199.40,93.80,105.20
Microsoft,197.70,232.40,196.40
Banking,195.00,196.30,201.40
Mining,163.40,184.20,174.10
Steel,151.10,119.70,138.60
Tesla,151.00,219.00,180.00
LVMH,150.00,158.00,211.00
Facebook,143.60,101.60,94.60
Telecom,136.90,159.60,162.90
Oil,135.20,110.90,148.10
Media,127.30,124.40,122.50
"Private equity",127.00,149.40,164.60
Chemicals,125.90,143.40,154.80
Candy,105.90,105.60,125.30
"Berkshire Hathaway",100.30,123.40,110.80
"medical devices",98.90,89.90,85.80
Casinos,98.50,73.10,84.45
"Online games",96.10,73.80,66.70
"Fashion retail",94.40,71.60,72.70
Oracle,93.00,106.00,107.00
"Koch Industries",92.80,120.00,118.00
Manufacturing,92.70,97.80,89.00
"Internet media",90.80,51.30,46.30
Beverages,88.80,94.10,98.90
"Consumer goods",86.10,75.90,74.50
Batteries,85.70,129.10,102.60
Zara,84.30,65.40,84.20
Supermarkets,83.40,81.10,58.00
Shipping,82.10,141.40,186.40
Finance,77.90,84.00,91.10
Construction,77.40,71.50,52.90
"Luxury goods",76.90,74.90,85.30
Education,75.20,18.00,18.80
LOreal,73.60,74.80,80.50
Electronics,72.30,61.90,54.70
"Auto parts",69.40,62.60,66.90
Chanel,69.00,62.40,63.20
Hospitals,67.90,62.40,51.00
"Bloomberg LP",66.60,90.70,104.30
Internet,66.30,37.50,33.50
Hotels,65.40,69.50,70.80
Biotech,64.30,63.00,58.00
Beer,61.30,54.20,57.30
Food,59.60,31.20,31.10
Automobiles,58.60,70.30,63.80
Metals,57.60,32.10,46.30
Semiconductors,56.90,71.00,62.00
