Industry,2022_total,2023_total,2024_01_total,2024_02_total,2024_03_total,2024_04_total
Technology,2225.80,1871.00,2477.20,2530.80,2599.50,2596.40
"Finance and Investments",1788.00,1657.15,1886.90,1933.10,1999.50,2043.50
"Fashion and Retail",1638.70,1687.40,1740.40,1808.60,1836.60,1826.50
Manufacturing,1033.00,979.20,826.30,866.70,872.10,927.60
"Food and Beverage",938.15,965.40,1048.60,1063.20,1072.30,1118.70
Diversified,893.00,854.90,978.20,1007.70,997.50,1094.70
Healthcare,710.30,645.60,630.80,679.30,681.60,697.70
"Real Estate",676.60,653.20,642.40,649.20,651.60,664.90
Automotive,588.10,525.30,517.60,561.50,551.40,555.40
"Media and Entertainment",443.60,427.50,426.40,443.80,459.70,486.30
Energy,443.60,500.40,501.70,520.90,536.60,556.20
"Metals and Mining",364.80,425.60,429.10,421.10,433.10,460.60
Logistics,208.00,246.60,238.00,251.20,255.50,284.90
Telecom,202.70,205.10,216.40,221.70,234.90,227.60
Service,167.90,163.50,166.90,168.20,168.90,168.60
"Construction and Engineering",114.50,114.80,129.50,133.60,139.10,145.90
"Gambling and Casinos",106.10,124.25,121.70,123.20,116.80,113.40
Sports,92.40,126.40,138.00,138.30,144.00,142.60
,NULL,NULL,NULL,NULL,NULL,4.20
