ID,Person,City,Country_of_residence,Continent,latitude,longitude,Citzenship,Gender,net_worth_in_BillionUSD_2021,net_worth_in_BillionUSD_2022,net_worth_in_BillionUSD_2023,net_worth_in_BillionUSD_2024_01,net_worth_in_BillionUSD_2024_02,net_worth_in_BillionUSD_2024_03,net_worth_in_BillionUSD_2024_04,net_worth_in_BillionUSD_2024_05,Table_rank_2021,Table_rank_2022,Table_rank_2023,Table_rank_2024_01,Table_rank_2024_02,Table_rank_2024_03,Table_rank_2024_04,Table_rank_2024_05
1,"Bernard Arnault  ",Paris,France,Europe,48.8534951000000000000,2.34839150000000000,France,male,150.00,158.00,211.00,212.00,229.60,226.60,209.40,201.60,3,3,1,1,1,1,1,2
2,"Elon Musk",Austin,USA,"North America",30.2711286000000000000,-97.74369950000000000,USA,male,151.00,219.00,180.00,198.40,210.00,195.30,199.60,210.30,2,1,2,2,2,3,2,1
3,"Jeff Bezos",Seattle,USA,"North America",47.6038321000000000000,-122.33006200000000000,USA,male,177.00,171.00,114.00,193.80,197.70,198.40,193.30,194.70,1,2,3,3,3,2,3,3
4,"Larry Ellison",Lanai,USA,"North America",20.8305440999999970000,-156.90294925091140000,USA,male,93.00,106.00,107.00,143.70,139.90,155.20,142.80,146.20,7,8,4,5,5,5,5,5
5,"Warren Buffett",Omaha,USA,"North America",41.2587459000000000000,-95.93837580000000000,USA,male,96.00,118.00,106.00,128.70,134.70,138.60,131.00,137.00,6,5,5,6,6,6,7,7
6,"Bill Gates",Medina,USA,"North America",29.2836281000000000000,-99.11268260000000000,USA,male,124.00,129.00,104.00,124.00,128.10,131.30,127.00,129.40,4,4,6,7,7,7,9,9
7,"Michael Bloomberg","New York City",USA,"North America",40.7127281000000000000,-74.00601520000000000,USA,male,59.00,82.00,94.50,96.30,106.20,106.20,106.20,106.20,20,12,7,15,12,13,12,13
8,"Carlos Slim Helu  ","Mexico City",Mexico,"North America",19.4326296000000000000,-99.13317850000000000,Mexico,male,62.80,81.20,93.00,100.00,101.40,102.50,99.70,98.60,16,13,8,13,14,14,14,16
9,"Mukesh Ambani",Mumbai,India,Asia,18.9733536000000000000,72.82810491917377000,India,male,84.50,90.70,83.40,112.10,114.40,116.60,115.80,112.40,10,10,9,11,10,11,11,11
10,"Steve Ballmer","Hunts Point",USA,"North America",47.6434321000000000000,-122.23012400000000000,USA,male,68.70,91.40,80.70,120.50,122.80,124.50,117.10,123.20,14,9,10,8,8,9,10,10
11,"Francoise Bettencourt Meyers  ",Paris,France,Europe,48.8534951000000000000,2.34839150000000000,France,female,73.60,74.80,80.50,98.10,96.90,96.00,95.40,99.10,12,14,11,14,15,15,15,15
