ID;User_ID;Table_rank_2022;Person;net_worth_in_BillionUSD_2022;Age_of_person_2022;date_of_year
1;2;1;Elon Musk;219,00;50;2022
2;3;2;Jeff Bezos;171,00;58;2022
3;1;3;Bernard Arnault;158,00;73;2022
4;6;4;Bill Gates;129,00;66;2022
5;5;5;Warren Buffett;118,00;91;2022
6;12;6;Larry Page;111,00;49;2022
7;14;7;Sergey Brin;107,00;48;2022
8;4;8;Larry Ellison;106,00;77;2022
9;10;9;Steve Ballmer;91,40;66;2022
10;9;10;Mukesh Ambani;90,70;64;2022
11;24;11;Gautam Adani;90,00;59;2022
12;7;12;Michael Bloomberg;82,00;80;2022
13;8;13;Carlos Slim Helu;81,20;82;2022
14;11;14;Francoise Bettencourt Meyers;74,80;68;2022
15;16;15;Mark Zuckerberg;67,30;37;2022
16;19;16;Jim Walton;66,20;73;2022
17;15;17;Zhong Shanshan;65,70;67;2022
18;21;18;Alice Walton;65,30;72;2022
19;20;19;Rob Walton;65,00;77;2022
20;164;19;Changpeng Zhao;65,00;44;2022
21;17;21;Charles Koch;60,00;86;2022
22;18;21;Julia Koch;60,00;59;2022
23;13;23;Amancio Ortega;59,60;86;2022
24;23;24;Michael Dell;55,10;57;2022
25;26;25;Zhang Yiming;50,00;38;2022
26;22;26;David Thomson;49,20;64;2022
27;25;27;Phil Knight;47,30;84;2022
28;27;28;Dieter Schwarz;47,10;82;2022
29;38;29;Robin Zeng;44,80;53;2022
30;60;30;MacKenzie Scott;43,60;51;2022
31;182;31;Rodolphe Saade;41,40;52;2022
32;28;32;Francois Pinault;40,40;85;2022
33;29;33;Klaus-Michael Kuehne;37,30;84;2022
34;34;34;Ma Huateng;37,20;50;2022
35;105;35;Karl Albrecht jr;36,80;64;2022
36;30;36;Giovanni Ferrero;36,20;57;2022
37;33;37;Li Ka-shing;34,80;93;2022
38;50;37;Stephen Schwarzman;34,80;75;2022
39;47;39;Lee Shau Kee;32,60;94;2022
40;40;40;Len Blavatnik;32,50;64;2022
41;31;41;Jacqueline Mars;31,70;82;2022
42;32;41;John Mars;31,70;86;2022
43;41;43;Alain Wertheimer;31,20;73;2022
44;42;43;Gerard Wertheimer;31,20;71;2022
45;54;45;German Larrea Mota Velasco;30,80;68;2022
46;52;46;Gina Rinehart;30,20;68;2022
47;55;47;Shiv Nadar;28,70;76;2022
48;49;48;Jim Simons;28,60;83;2022
49;64;49;He Xiangjian;28,30;79;2022
50;35;50;Miriam Adelson;27,50;76;2022
51;2607;51;Dietrich Mateschitz;27,40;77;2022
52;2608;52;Leonardo Del Vecchio;27,30;86;2022
53;36;53;Ken Griffin;27,20;53;2022
54;39;54;Tadashi Yanai;26,10;73;2022
55;2609;55;William Lei Ding;25,20;50;2022
56;51;56;Susanne Klatten;24,30;59;2022
57;68;56;Cyrus Poonawalla;24,30;80;2022
58;75;56;Wang Wei;24,30;51;2022
59;85;59;Qin Yinglin;24,10;56;2022
60;2610;60;Sam Bankman-Fried;24,00;30;2022
61;78;61;Takemitsu Takizaki;23,90;76;2022
62;2611;62;Li Shufu;23,70;58;2022
63;71;63;Emmanuel Besnier;23,50;51;2022
64;61;64;R. Budi Hartono;23,20;81;2022
65;77;65;Leonard Lauder;23,10;89;2022
66;316;66;Guillaume Pousaz;23,00;40;2022
67;65;67;Iris Fontbona;22,80;79;2022
68;63;67;Jack Ma;22,80;57;2022
69;66;69;Michael Hartono;22,30;82;2022
70;102;70;Eric Schmidt;22,10;66;2022
71;81;71;Ray Dalio;22,00;72;2022
72;90;71;Daniel Gilbert;22,00;60;2022
73;3011;73;Thomas Frist Jr;21,80;83;2022
74;69;74;Masayoshi Son;21,30;64;2022
75;72;75;Abigail Johnson;21,20;60;2022
76;97;76;Rupert Murdoch;20,80;91;2022
77;59;77;Stefan Quandt;20,70;55;2022
78;76;78;Jensen Huang;20,60;59;2022
79;112;79;Huang Shilin;20,30;55;2022
80;57;80;Thomas Peterffy;20,10;77;2022
81;111;81;Radhakishan Damani;20,00;67;2022
82;104;82;Pang Kang;19,60;66;2022
83;86;83;Wang Chuanfu;19,50;56;2022
84;46;84;Reinhold Wuerth;19,00;86;2022
85;98;85;Theo Albrecht jr;18,70;71;2022
86;250;85;Yang Huiyan;18,70;40;2022
87;70;87;Vladimir Lisin;18,40;65;2022
88;586;88;Fan Hongwei;18,20;55;2022
89;91;89;Lakshmi Mittal;17,90;71;2022
90;3105;90;Andrew Forrest;17,80;60;2022
91;140;91;Jiang Rensheng;17,70;68;2022
92;94;91;Savitri Jindal;17,70;72;2022
93;83;91;Wang Wenyin;17,70;54;2022
94;100;94;Li Xiting;17,60;71;2022
95;101;94;Stefan Persson;17,60;74;2022
96;92;96;Steve Cohen;17,40;65;2022
97;62;97;Vladimir Potanin;17,30;61;2022
98;87;98;Harold Hamm;17,20;76;2022
99;189;99;Sun Piaoyang;17,10;63;2022
100;192;100;Luo Liguo;17,00;66;2022
101;108;100;Peter Woo;17,00;75;2022
102;43;102;Gianluigi Aponte;16,80;81;2022
103;88;103;David Tepper;16,70;64;2022
104;99;104;Renata Kellnerova;16,60;54;2022
105;96;104;John Menard jr;16,60;82;2022
106;121;106;Kumar Birla;16,50;54;2022
107;93;106;Carl Icahn;16,50;86;2022
108;594;106;Hank Meijer;16,50;64;2022
109;74;106;Lukas Walton;16,50;35;2022
110;142;110;Laurene Powell Jobs;16,40;58;2022
111;67;111;James Ratcliffe;16,30;69;2022
112;95;112;Donald Bren;16,20;89;2022
113;117;113;Xu Hang;16,10;55;2022
114;133;114;Lu Xiangyang;15,70;59;2022
115;109;115;Dilip Shanghvi;15,60;66;2022
116;118;116;Wei Jianjun;15,50;58;2022
117;107;117;Jorge Paulo Lemann;15,40;82;2022
118;84;117;Eyal Ofer;15,40;71;2022
119;166;119;Mike Cannon-Brookes;15,30;42;2022
120;176;119;Wu Yajun;15,30;58;2022
121;116;121;Charlene de Carvalho-Heineken;15,20;67;2022
122;103;121;Michael Platt;15,20;54;2022
123;145;123;Pavel Durov;15,10;37;2022
124;174;123;Scott Farquhar;15,10;42;2022
125;2612;125;Pallonji Mistry;15,00;92;2022
126;139;126;Dang Yanbao;14,80;49;2022
127;110;127;Robert Pera;14,60;44;2022
128;160;128;Donald Newhouse;14,40;92;2022
129;135;129;Uday Kotak;14,30;63;2022
130;122;130;Aliko Dangote;14,00;64;2022
131;73;130;Leonid Mikhelson;14,00;66;2022
132;416;132;Sunil Mittal;13,90;64;2022
133;302;133;Robert Ng;13,70;64;2022
134;148;134;Liu Hanyuan;13,65;58;2022
135;132;135;Joseph Lau;13,60;70;2022
136;308;135;Anders Holch Povlsen;13,60;49;2022
137;113;137;Dhanin Chearavanont;13,50;82;2022
138;156;138;Gong Hongjia;13,20;57;2022
139;178;138;Liu Yongxing;13,20;73;2022
140;79;138;Alexey Mordashov;13,20;56;2022
141;249;138;Wang Jianlin;13,20;67;2022
142;168;142;David Duffield;12,90;81;2022
143;236;142;Li Zhenguo;12,90;54;2022
144;134;144;Harry Triguboff;12,80;89;2022
145;157;144;Zhang Zhidong;12,80;50;2022
146;125;146;Chen Bang;12,70;56;2022
147;219;146;John Doerr;12,70;70;2022
148;2613;146;Hinduja brothers;12,70;64;2022
149;123;149;Kwong Siu-hing;12,60;92;2022
150;223;150;Pei Zhenhua;12,50;63;2022
151;159;151;Ricardo Salinas Pliego;12,40;66;2022
152;198;152;Jim Pattison;12,20;93;2022
153;208;152;Charles Schwab;12,20;84;2022
154;120;154;Goh Cheng Liang;12,10;94;2022
155;366;154;Lin Jianhua;12,10;59;2022
156;115;156;Charoen Sirivadhanabhakdi;12,00;77;2022
157;48;156;Jeff Yass;12,00;63;2022
158;127;158;John Fredriksen;11,90;77;2022
159;146;158;Andreas Struengmann;11,90;72;2022
160;147;158;Thomas Struengmann;11,90;72;2022
161;137;161;Mikhail Fridman;11,80;57;2022
162;138;161;Sarath Ratanavadi;11,80;56;2022
163;143;163;Robert Kuok;11,70;98;2022
164;187;163;Lei Jun;11,70;52;2022
165;276;163;Zhang Congyuan;11,70;74;2022
166;126;166;Lui Che Woo;11,60;93;2022
167;201;167;Brian Chesky;11,50;40;2022
168;150;167;Israel Englander;11,50;73;2022
169;221;167;Dustin Moskovitz;11,50;37;2022
170;119;167;Alisher Usmanov;11,50;68;2022
171;422;171;Jay Chaudhry;11,40;62;2022
172;152;171;Anthony Pratt;11,40;61;2022
173;2614;173;Colin Zheng Huang;11,30;42;2022
174;191;173;Jin Baofang;11,30;69;2022
175;222;173;Pierre Omidyar;11,30;54;2022
176;89;173;Gennady Timchenko;11,30;69;2022
177;167;177;Carl Cook;11,10;59;2022
178;58;177;Andrey Melnichenko;11,10;50;2022
179;2615;179;Xing Wang;11,00;43;2022
180;2616;180;Philip Anschutz;10,90;82;2022
181;210;180;David Cheriton;10,90;71;2022
182;212;180;Alexander Otto;10,90;54;2022
183;128;183;Diane Hendricks;10,70;75;2022
184;136;183;Stanley Kroenke;10,70;74;2022
185;130;185;Jerry Jones;10,60;79;2022
186;175;185;Quek Leng Chan;10,60;80;2022
187;171;185;Eduardo Saverin;10,60;40;2022
188;80;188;Vagit Alekperov;10,50;71;2022
189;220;188;Richard Liu;10,50;48;2022
190;124;188;Idan Ofer;10,50;66;2022
191;184;191;Melker Schorling;10,40;74;2022
192;234;192;Chase Coleman III;10,30;46;2022
193;2617;192;Shuirong Li;10,30;65;2022
194;242;192;Stefano Pessina;10,30;80;2022
195;153;192;Mikhail Prokhorov;10,30;56;2022
