ID;User_ID;Rank_2024_01;Person;net_worth_in_BillionUSD_2024_01;Age_of_person_2024_01;Date_of_data
1;1;1;Bernard Arnault;212,0;74;2024-01-31
2;2;2;Elon Musk;198,4;52;2024-01-31
3;3;3;Jeff Bezos;193,8;60;2024-01-31
4;16;4;Mark Zuckerberg;167,2;39;2024-01-31
5;4;5;Larry Ellison;143,7;79;2024-01-31
6;5;6;Warren Buffett;128,7;93;2024-01-31
7;6;7;Bill Gates;124,0;68;2024-01-31
8;10;8;Steve Ballmer;120,5;67;2024-01-31
9;12;9;Larry Page;119,3;50;2024-01-31
10;14;10;Sergey Brin;114,4;50;2024-01-31
11;9;11;Mukesh Ambani;112,1;66;2024-01-31
12;13;12;Amancio Ortega;100,1;87;2024-01-31
13;8;13;Carlos Slim Helu;100,0;84;2024-01-31
14;11;14;Francoise Bettencourt Meyers;98,1;70;2024-01-31
15;7;15;Michael Bloomberg;96,3;81;2024-01-31
16;24;16;Gautam Adani;79,5;61;2024-01-31
17;23;17;Michael Dell;73,2;58;2024-01-31
18;19;18;Jim Walton;70,0;75;2024-01-31
19;20;19;Rob Walton;69,2;79;2024-01-31
20;21;20;Alice Walton;65,1;74;2024-01-31
21;22;21;David Thomson;62,8;66;2024-01-31
22;15;22;Zhong Shanshan;60,4;69;2024-01-31
23;18;23;Julia Koch;60,2;61;2024-01-31
24;76;24;Jensen Huang;58,6;60;2024-01-31
25;17;25;Charles Koch;54,9;88;2024-01-31
26;27;26;Dieter Schwarz;46,1;84;2024-01-31
27;45;27;Colin Huang;43,9;44;2024-01-31
28;26;28;Zhang Yiming;43,4;40;2024-01-31
29;25;29;Phil Knight;40,5;85;2024-01-31
30;32;30;John Mars;39,8;88;2024-01-31
31;31;31;Jacqueline Mars;39,8;84;2024-01-31
32;30;32;Giovanni Ferrero;39,4;59;2024-01-31
33;37;33;Mark Mateschitz;39,3;31;2024-01-31
34;39;34;Tadashi Yanai;39,0;74;2024-01-31
35;50;35;Stephen Schwarzman;37,3;76;2024-01-31
36;495;36;Prajogo Pangestu;37,2;79;2024-01-31
37;36;37;Ken Griffin;37,1;55;2024-01-31
38;41;38;Alain Wertheimer;36,5;75;2024-01-31
39;42;39;Gerard Wertheimer;36,5;73;2024-01-31
40;33;40;Li Ka-shing;36,2;95;2024-01-31
41;55;41;Shiv Nadar;35,5;78;2024-01-31
42;60;42;MacKenzie Scott;34,8;53;2024-01-31
43;35;43;Miriam Adelson;33,5;78;2024-01-31
44;29;44;Klaus-Michael Kuehne;33,4;86;2024-01-31
45;40;45;Len Blavatnik;32,0;66;2024-01-31
46;53;46;William Ding;31,5;52;2024-01-31
47;34;47;Ma Huateng;30,8;52;2024-01-31
48;49;48;Jim Simons;30,7;85;2024-01-31
49;52;49;Gina Rinehart;30,6;69;2024-01-31
50;43;50;Gianluigi Aponte;30,4;83;2024-01-31
51;44;51;Rafaela Aponte-Diamant;30,4;78;2024-01-31
52;57;52;Thomas Peterffy;30,2;79;2024-01-31
53;94;53;Savitri Jindal;29,5;73;2024-01-31
54;73;54;Leonid Mikhelson;29,0;68;2024-01-31
55;28;55;Francois Pinault;29,0;87;2024-01-31
56;48;56;Jeff Yass;28,9;65;2024-01-31
57;54;57;German Larrea Mota Velasco;28,8;70;2024-01-31
58;46;58;Reinhold Wuerth;28,5;88;2024-01-31
59;72;59;Abigail Johnson;28,4;62;2024-01-31
60;56;60;Low Tuck Kwong;27,5;75;2024-01-31
61;47;61;Lee Shau Kee;27,0;96;2024-01-31
62;171;62;Eduardo Saverin;26,3;41;2024-01-31
63;70;63;Vladimir Lisin;26,0;67;2024-01-31
64;61;64;R. Budi Hartono;25,9;83;2024-01-31
65;90;65;Daniel Gilbert;25,9;62;2024-01-31
66;71;66;Emmanuel Besnier;25,5;53;2024-01-31
67;179;67;Vinod Adani;25,4;75;2024-01-31
68;87;68;Harold Hamm;25,2;78;2024-01-31
69;68;69;Cyrus Poonawalla;25,1;82;2024-01-31
70;65;70;Iris Fontbona;25,1;81;2024-01-31
71;3011;71;Thomas Frist Jr;25,1;85;2024-01-31
72;58;72;Andrey Melnichenko;25,0;51;2024-01-31
73;89;73;Gennady Timchenko;25,0;71;2024-01-31
74;66;74;Michael Hartono;24,8;84;2024-01-31
75;59;75;Stefan Quandt;24,8;57;2024-01-31
76;74;76;Lukas Walton;24,7;37;2024-01-31
77;63;77;Jack Ma;24,4;59;2024-01-31
78;3105;78;Andrew Forrest;24,0;62;2024-01-31
79;69;79;Masayoshi Son;24,0;66;2024-01-31
80;51;80;Susanne Klatten;23,7;61;2024-01-31
81;109;81;Dilip Shanghvi;23,7;68;2024-01-31
82;80;82;Vagit Alekperov;23,7;73;2024-01-31
83;96;83;John Menard Jr;23,5;84;2024-01-31
84;64;84;He Xiangjian;22,8;81;2024-01-31
85;62;85;Vladimir Potanin;22,3;63;2024-01-31
86;128;86;Diane Hendricks;22,1;76;2024-01-31
87;190;87;Rick Cohen;21,9;71;2024-01-31
88;84;88;Eyal Ofer;21,9;73;2024-01-31
89;38;89;Robin Zeng;21,2;55;2024-01-31
90;78;90;Takemitsu Takizaki;21,2;78;2024-01-31
91;79;91;Alexey Mordashov;21,0;58;2024-01-31
92;102;92;Eric Schmidt;20,7;68;2024-01-31
93;67;93;James Ratcliffe;20,7;71;2024-01-31
94;88;94;David Tepper;20,6;66;2024-01-31
95;121;95;Kumar Birla;19,9;56;2024-01-31
96;92;96;Steve Cohen;19,8;67;2024-01-31
97;97;97;Rupert Murdoch;18,5;92;2024-01-31
98;2625;98;Vicky Safra;18,4;71;2024-01-31
99;95;99;Donald Bren;18,0;91;2024-01-31
100;248;100;Kushal Pal Singh;18,0;92;2024-01-31
101;221;101;Dustin Moskovitz;17,2;39;2024-01-31
102;101;102;Stefan Persson;17,1;76;2024-01-31
103;91;103;Lakshmi Mittal;17,0;73;2024-01-31
104;111;104;Radhakishan Damani;16,9;69;2024-01-31
105;122;105;Aliko Dangote;16,6;66;2024-01-31
106;99;106;Renata Kellnerova;16,6;56;2024-01-31
107;107;107;Jorge Paulo Lemann;16,4;84;2024-01-31
108;134;108;Harry Triguboff;16,3;90;2024-01-31
109;103;109;Michael Platt;16,0;55;2024-01-31
110;129;110;Jan Koum;16,0;47;2024-01-31
111;106;111;Beate Heister;15,7;;2024-01-31
112;105;112;Karl Albrecht jr;15,7;;2024-01-31
113;136;113;Stanley Kroenke;15,7;76;2024-01-31
114;168;114;David Duffield;15,7;83;2024-01-31
115;81;115;Ray Dalio;15,4;74;2024-01-31
116;114;116;David Green;15,1;82;2024-01-31
117;2616;117;Philip Anschutz;15,1;84;2024-01-31
118;82;118;Eric Li;15,1;60;2024-01-31
119;164;119;Changpeng Zhao;15,0;46;2024-01-31
120;229;120;Ravi Jaipuria;15,0;69;2024-01-31
121;124;121;Idan Ofer;14,9;68;2024-01-31
122;233;122;Andreas von Bechtolsheim;14,9;68;2024-01-31
123;165;123;Andrew Beal;14,9;71;2024-01-31
124;177;124;Autry Stephens;14,8;85;2024-01-31
125;131;125;George Kaiser;14,4;81;2024-01-31
126;119;126;Alisher Usmanov;14,3;70;2024-01-31
127;116;127;Charlene de Carvalho-Heineken;14,2;69;2024-01-31
128;85;128;Qin Yinglin;14,2;58;2024-01-31
129;127;129;John Fredriksen;14,1;79;2024-01-31
130;77;130;Leonard Lauder;14,0;90;2024-01-31
131;100;131;Li Xiting;14,0;73;2024-01-31
132;98;132;Theo Albrecht jr;13,9;73;2024-01-31
133;422;133;Jay Chaudhry;13,9;64;2024-01-31
134;135;134;Uday Kotak;13,8;64;2024-01-31
135;166;135;Mike Cannon-Brookes;13,7;44;2024-01-31
136;108;136;Peter Woo;13,7;77;2024-01-31
137;130;137;Jerry Jones;13,6;81;2024-01-31
138;180;138;Nicolas Puech;13,6;81;2024-01-31
139;174;139;Scott Farquhar;13,5;44;2024-01-31
140;142;140;Laurene Powell Jobs;13,4;60;2024-01-31
141;282;141;Henry Samueli;13,3;69;2024-01-31
142;159;142;Ricardo Salinas Pliego;13,2;68;2024-01-31
143;227;143;Leon Black;13,2;72;2024-01-31
144;132;144;Joseph Lau;13,1;72;2024-01-31
145;120;145;Goh Cheng Liang;13,1;96;2024-01-31
146;137;146;Mikhail Fridman;12,9;59;2024-01-31
147;210;147;David Cheriton;12,9;72;2024-01-31
148;154;148;Giorgio Armani;12,8;89;2024-01-31
149;75;149;Wang Wei;12,8;53;2024-01-31
150;86;150;Wang Chuanfu;12,7;57;2024-01-31
