ID;User_ID;Table_rank_2024_03;Person;net_worth_in_BillionUSD_2024_03;Age_of_person_2024_03;Date_of_data
1;1;1;Bernard Arnault;226,6;75;2024-03-30
2;3;2;Jeff Bezos;198,4;60;2024-03-30
3;2;3;Elon Musk;195,3;52;2024-03-30
4;16;4;Mark Zuckerberg;170,3;39;2024-03-30
5;4;5;Larry Ellison;155,2;79;2024-03-30
6;5;6;Warren Buffett;138,6;93;2024-03-30
7;6;7;Bill Gates;131,3;68;2024-03-30
8;12;8;Larry Page;126;51;2024-03-30
9;10;9;Steve Ballmer;124,5;68;2024-03-30
10;14;10;Sergey Brin;121,1;50;2024-03-30
11;9;11;Mukesh Ambani;116,6;66;2024-03-30
12;13;12;Amancio Ortega;113,9;88;2024-03-30
13;7;13;Michael Bloomberg;106,2;82;2024-03-30
14;8;14;Carlos Slim Helu;102,5;84;2024-03-30
15;11;15;Francoise Bettencourt Meyers;96;70;2024-03-30
16;23;16;Michael Dell;90,5;59;2024-03-30
17;24;17;Gautam Adani;81;61;2024-03-30
18;76;18;Jensen Huang;79,4;61;2024-03-30
19;19;19;Jim Walton;78,4;75;2024-03-30
20;20;20;Rob Walton;77,4;79;2024-03-30
21;21;21;Alice Walton;72,3;74;2024-03-30
22;22;22;David Thomson;67,5;66;2024-03-30
23;18;23;Julia Koch;64,3;61;2024-03-30
24;15;24;Zhong Shanshan;62,5;69;2024-03-30
25;17;25;Charles Koch;58,5;88;2024-03-30
26;39;26;Tadashi Yanai;44,8;75;2024-03-30
27;26;27;Zhang Yiming;43,4;40;2024-03-30
28;30;28;Giovanni Ferrero;43,2;59;2024-03-30
29;45;29;Colin Huang;41;44;2024-03-30
30;50;30;Stephen Schwarzman;40;77;2024-03-30
31;25;31;Phil Knight;39,3;86;2024-03-30
32;29;32;Klaus-Michael Kuehne;39,1;86;2024-03-30
33;37;33;Mark Mateschitz;39,1;31;2024-03-30
34;495;34;Prajogo Pangestu;38,5;79;2024-03-30
35;31;35;Jacqueline Mars;38,5;84;2024-03-30
36;32;36;John Mars;38,5;88;2024-03-30
37;27;37;Dieter Schwarz;37,4;84;2024-03-30
38;41;38;Alain Wertheimer;36,8;75;2024-03-30
39;42;39;Gerard Wertheimer;36,8;73;2024-03-30
40;33;40;Li Ka-shing;36,6;95;2024-03-30
41;60;41;MacKenzie Scott;36,6;53;2024-03-30
42;36;42;Ken Griffin;36,4;55;2024-03-30
43;57;43;Thomas Peterffy;35;79;2024-03-30
44;55;44;Shiv Nadar;34,8;78;2024-03-30
45;34;45;Ma Huateng;33,4;52;2024-03-30
46;94;46;Savitri Jindal;33,4;74;2024-03-30
47;46;47;Reinhold Wuerth;33,1;88;2024-03-30
48;43;48;Gianluigi Aponte;33,1;83;2024-03-30
49;44;49;Rafaela Aponte-Diamant;33,1;79;2024-03-30
50;164;50;Changpeng Zhao;33;47;2024-03-30
51;53;51;William Ding;32,8;52;2024-03-30
52;54;52;German Larrea Mota Velasco;32,1;70;2024-03-30
53;35;53;Miriam Adelson;32,1;78;2024-03-30
54;40;54;Len Blavatnik;31,9;66;2024-03-30
55;49;55;Jim Simons;31,4;85;2024-03-30
56;69;56;Masayoshi Son;31,2;66;2024-03-30
57;52;57;Gina Rinehart;30,3;70;2024-03-30
58;72;58;Abigail Johnson;29;62;2024-03-30
59;90;59;Daniel Gilbert;28,9;62;2024-03-30
60;80;60;Vagit Alekperov;28,6;73;2024-03-30
61;28;61;Francois Pinault;28,4;87;2024-03-30
62;74;62;Lukas Walton;28;37;2024-03-30
63;65;63;Iris Fontbona;27,7;81;2024-03-30
64;47;64;Lee Shau Kee;27,7;96;2024-03-30
65;48;65;Jeff Yass;27,6;65;2024-03-30
66;73;66;Leonid Mikhelson;27,4;68;2024-03-30
67;38;67;Robin Zeng;27,4;55;2024-03-30
68;59;68;Stefan Quandt;26,9;57;2024-03-30
69;171;69;Eduardo Saverin;26,9;42;2024-03-30
70;3011;70;Thomas Frist Jr;26,7;85;2024-03-30
71;109;71;Dilip Shanghvi;26,7;68;2024-03-30
72;70;72;Vladimir Lisin;26,6;67;2024-03-30
73;56;73;Low Tuck Kwong;26,4;75;2024-03-30
74;51;74;Susanne Klatten;26,1;61;2024-03-30
75;61;75;R. Budi Hartono;25,9;83;2024-03-30
76;79;76;Alexey Mordashov;25,5;58;2024-03-30
77;96;77;John Menard Jr;25,2;84;2024-03-30
78;71;78;Emmanuel Besnier;25,2;53;2024-03-30
