ID;User_ID;Table_rank_2024_09;Person;net_worth_inBillionUSD_2024_09;Age_of_person_2024_09;Date_of_data
1;2;1;Elon Musk;270,5;53;2024-09-30
2;4;2;Larry Ellison;208,0;80;2024-09-30
3;3;3;Jeff Bezos;204,3;60;2024-09-30
4;16;4;Mark Zuckerberg;198,0;40;2024-09-30
5;1;5;Bernard Arnault;195,5;75;2024-09-30
6;5;6;Warren Buffett;144,9;94;2024-09-30
7;12;7;Larry Page;137,9;51;2024-09-30
8;13;8;Amancio Ortega;133,0;88;2024-09-30
9;14;9;Sergey Brin;132,0;51;2024-09-30
10;10;10;Steve Ballmer;125,5;68;2024-09-30
11;9;11;Mukesh Ambani;116,2;67;2024-09-30
12;6;12;Bill Gates;107,9;68;2024-09-30
13;76;13;Jensen Huang;106,2;61;2024-09-30
14;7;14;Michael Bloomberg;104,7;82;2024-09-30
15;23;15;Michael Dell;104,3;59;2024-09-30
16;20;16;Rob Walton;99,9;79;2024-09-30
17;19;17;Jim Walton;98,7;76;2024-09-30
18;11;18;Francoise Bettencourt Meyers;91,8;71;2024-09-30
19;21;19;Alice Walton;91,2;74;2024-09-30
20;8;20;Carlos Slim Helu;87,0;84;2024-09-30
21;24;21;Gautam Adani;83,8;62;2024-09-30
22;18;22;Julia Koch;74,2;62;2024-09-30
23;22;23;David Thomson;72,1;67;2024-09-30
24;17;24;Charles Koch;67,5;88;2024-09-30
25;164;25;Changpeng Zhao;61,1;47;2024-09-30
26;15;26;Zhong Shanshan;56,2;69;2024-09-30
27;495;27;Prajogo Pangestu;54,0;80;2024-09-30
28;48;28;Jeff Yass;49,6;66;2024-09-30
29;39;29;Tadashi Yanai;48,2;75;2024-09-30
30;34;30;Ma Huateng;47,9;52;2024-09-30
31;31;31;Jacqueline Mars;47,6;84;2024-09-30
32;32;31;John Mars;47,6;88;2024-09-30
33;45;33;Colin Huang;47,5;44;2024-09-30
34;50;34;Stephen Schwarzman;46,2;77;2024-09-30
35;26;35;Zhang Yiming;45,6;40;2024-09-30
36;30;36;Giovanni Ferrero;44,7;60;2024-09-30
37;94;37;Savitri Jindal;43,5;74;2024-09-30
38;36;38;Ken Griffin;43,0;55;2024-09-30
39;57;39;Thomas Peterffy;42,9;80;2024-09-30
40;42;40;Gerard Wertheimer;41,3;73;2024-09-30
41;41;40;Alain Wertheimer;41,3;76;2024-09-30
42;29;42;Klaus-Michael Kuehne;41,2;87;2024-09-30
43;37;43;Mark Mateschitz;40,4;32;2024-09-30
44;55;44;Shiv Nadar;40,1;79;2024-09-30
45;25;45;Phil Knight;38,3;86;2024-09-30
46;38;46;Robin Zeng;37,9;55;2024-09-30
47;27;47;Dieter Schwarz;37,7;85;2024-09-30
48;46;48;Reinhold Wuerth;37,7;89;2024-09-30
49;33;49;Li Ka-shing;36,9;96;2024-09-30
50;74;50;Lukas Walton;35,1;38;2024-09-30
51;44;51;Rafaela Aponte-Diamant;34,9;79;2024-09-30
52;43;51;Gianluigi Aponte;34,9;84;2024-09-30
53;60;53;MacKenzie Scott;34,8;54;2024-09-30
54;35;54;Miriam Adelson;34,2;78;2024-09-30
55;90;55;Daniel Gilbert;32,4;62;2024-09-30
56;3011;56;Thomas Frist Jr;32,3;86;2024-09-30
57;52;57;Gina Rinehart;32,2;70;2024-09-30
58;69;58;Masayoshi Son;32,1;67;2024-09-30
59;109;59;Dilip Shanghvi;31,6;69;2024-09-30
60;171;60;Eduardo Saverin;31,4;42;2024-09-30
61;72;61;Abigail Johnson;31,3;62;2024-09-30
62;3725;62;Marilyn Simons;31,0;73;2024-09-30
63;53;63;William Ding;30,6;53;2024-09-30
64;40;64;Len Blavatnik;30,2;67;2024-09-30
65;54;65;German Larrea Mota Velasco;30,0;70;2024-09-30
66;64;66;He Xiangjian;29,3;82;2024-09-30
67;384;67;Melinda French Gates;29,2;60;2024-09-30
68;47;68;Lee Shau Kee;28,9;96;2024-09-30
69;65;69;Iris Fontbona;28,6;81;2024-09-30
70;3151;70;Elaine Marshall;28,3;82;2024-09-30
71;3150;71;Andrea Pignataro;28,1;54;2024-09-30
72;61;72;R. Budi Hartono;27,6;83;2024-09-30
73;73;73;Leonid Mikhelson;27,4;69;2024-09-30
74;70;74;Vladimir Lisin;26,6;68;2024-09-30
75;66;75;Michael Hartono;26,5;85;2024-09-30
76;80;76;Vagit Alekperov;26,5;74;2024-09-30
77;71;77;Emmanuel Besnier;26,5;54;2024-09-30
78;84;78;Eyal Ofer;25,8;74;2024-09-30
79;179;79;Vinod Adani;25,8;75;2024-09-30
80;63;80;Jack Ma;25,5;60;2024-09-30
81;79;81;Alexey Mordashov;25,5;59;2024-09-30
82;121;82;Kumar Birla;24,8;57;2024-09-30
83;68;83;Cyrus Poonawalla;24,5;83;2024-09-30
84;56;84;Low Tuck Kwong;24,2;76;2024-09-30
85;62;85;Vladimir Potanin;23,7;63;2024-09-30
86;86;86;Wang Chuanfu;23,6;58;2024-09-30
87;89;87;Gennady Timchenko;23,4;71;2024-09-30
88;51;88;Susanne Klatten;23,3;62;2024-09-30
89;102;89;Eric Schmidt;23,2;69;2024-09-30
90;59;90;Stefan Quandt;23,0;58;2024-09-30
91;78;91;Takemitsu Takizaki;22,9;79;2024-09-30
92;96;92;John Menard Jr;22,9;84;2024-09-30
93;28;93;Francois Pinault;22,8;88;2024-09-30
94;111;94;Radhakishan Damani;22,5;69;2024-09-30
95;128;95;Diane Hendricks;21,9;77;2024-09-30
96;88;96;David Tepper;21,3;67;2024-09-30
97;92;97;Steve Cohen;21,3;68;2024-09-30
98;97;98;Rupert Murdoch;20,9;93;2024-09-30
99;248;99;Kushal Pal Singh;20,2;93;2024-09-30
100;233;100;Andreas von Bechtolsheim;20,1;69;2024-09-30
101;2625;101;Vicky Safra;20,0;71;2024-09-30
102;95;102;Donald Bren;18,9;92;2024-09-30
103;101;103;Stefan Persson;18,7;76;2024-09-30
104;85;104;Qin Yinglin;18,7;59;2024-09-30
105;187;105;Lei Jun;18,5;54;2024-09-30
106;87;106;Harold Hamm;18,5;78;2024-09-30
107;99;107;Renata Kellnerova;18,5;57;2024-09-30
108;58;108;Andrey Melnichenko;18,2;52;2024-09-30
109;133;109;Lu Xiangyang;18,1;61;2024-09-30
110;103;110;Michael Platt;18,0;56;2024-09-30
111;282;111;Henry Samueli;17,7;70;2024-09-30
112;75;112;Wang Wei;17,7;54;2024-09-30
113;229;113;Ravi Jaipuria;17,5;69;2024-09-30
114;112;114;Huang Shilin;17,4;57;2024-09-30
115;82;115;Eric Li;17,3;61;2024-09-30
116;134;116;Harry Triguboff;17,3;91;2024-09-30
117;107;117;Jorge Paulo Lemann;17,0;85;2024-09-30
