ID;User_ID;Table_rank_2025_01;Person;net_worth_inBillionUSD_2025_01;Age_of_person_2025_01;Date
1;2;1;Elon Musk;421,6;53;
2;3;2;Jeff Bezos;250,1;61;
3;16;3;Mark Zuckerberg;237,9;40;
4;4;4;Larry Ellison;213,4;80;
5;1;5;Bernard Arnault;189,2;75;
6;12;6;Larry Page;167,6;51;
7;14;7;Sergey Brin;159,8;51;
8;5;8;Warren Buffett;146,2;94;
9;13;9;Amancio Ortega;123,3;88;
10;10;10;Steve Ballmer;122,9;68;
11;20;11;Rob Walton;116,2;80;
12;19;12;Jim Walton;114,9;76;
13;23;13;Michael Dell;109,4;59;
14;21;14;Alice Walton;107,1;75;
15;6;15;Bill Gates;106,5;69;
16;76;16;Jensen Huang;105;61;
17;7;17;Michael Bloomberg;104,7;82;
18;9;18;Mukesh Ambani;94,3;67;
19;8;19;Carlos Slim Helu;77,6;85;
20;11;20;Francoise Bettencourt Meyers;77,2;71;
21;18;21;Julia Koch;74,2;62;
22;22;22;David Thomson;71,3;67;
23;17;23;Charles Koch;67,5;89;
24;164;24;Changpeng Zhao;64,8;47;
25;57;25;Thomas Peterffy;64,2;80;
26;24;26;Gautam Adani;56,9;62;
27;15;27;Zhong Shanshan;56,7;70;
28;50;28;Stephen Schwarzman;51,9;77;
29;48;29;Jeff Yass;49,6;66;
30;39;30;Tadashi Yanai;46,8;75;
31;26;31;Zhang Yiming;45,6;41;
32;36;32;Ken Griffin;44,1;56;
33;34;33;Ma Huateng;43,7;53;
34;495;34;Prajogo Pangestu;43,5;80;
35;31;35;Jacqueline Mars;43;85;
36;32;35;John Mars;43;89;
37;30;37;Giovanni Ferrero;41,7;60;
38;74;38;Lukas Walton;40;38;
39;45;39;Colin Huang;39,4;44;
40;27;40;Dieter Schwarz;38,5;85;
41;72;41;Abigail Johnson;38;63;
42;37;42;Mark Mateschitz;37,7;32;
43;171;43;Eduardo Saverin;37,6;42;
44;55;44;Shiv Nadar;37,4;79;
45;33;45;Li Ka-shing;37,3;96;
46;38;46;Robin Zeng;37,3;56;
47;42;47;Gerard Wertheimer;36,4;74;
48;41;48;Alain Wertheimer;36,4;76;
49;46;49;Reinhold Wuerth;35,5;89;
50;29;50;Klaus-Michael Kuehne;35,3;87;
51;25;51;Phil Knight;34,8;86;
52;94;52;Savitri Jindal;34,4;74;
53;60;53;MacKenzie Scott;33,5;54;
