ID;User_ID;Table_rank_2025_01;Person;net_worth_inBillionUSD_2025_01;Age_of_person_2025_01;Date
1;2;1;Elon Musk;421.6;53;2025-01-31
2;3;2;Jeff Bezos;250.1;61;2025-01-31
3;16;3;Mark Zuckerberg;237.9;40;2025-01-31
4;4;4;Larry Ellison;213.4;80;2025-01-31
5;1;5;Bernard Arnault;189.2;75;2025-01-31
6;12;6;Larry Page;167.6;51;2025-01-31
7;14;7;Sergey Brin;159.8;51;2025-01-31
8;5;8;Warren Buffett;146.2;94;2025-01-31
9;13;9;Amancio Ortega;123.3;88;2025-01-31
10;10;10;Steve Ballmer;122.9;68;2025-01-31
11;20;11;Rob Walton;116.2;80;2025-01-31
12;19;12;Jim Walton;114.9;76;2025-01-31
13;23;13;Michael Dell;109.4;59;2025-01-31
14;21;14;Alice Walton;107.1;75;2025-01-31
15;6;15;Bill Gates;106.5;69;2025-01-31
16;76;16;Jensen Huang;105;61;2025-01-31
17;7;17;Michael Bloomberg;104.7;82;2025-01-31
18;9;18;Mukesh Ambani;94.3;67;2025-01-31
19;8;19;Carlos Slim Helu;77.6;85;2025-01-31
20;11;20;Francoise Bettencourt Meyers;77.2;71;2025-01-31
21;18;21;Julia Koch;74.2;62;2025-01-31
22;22;22;David Thomson;71.3;67;2025-01-31
23;17;23;Charles Koch;67.5;89;2025-01-31
24;164;24;Changpeng Zhao;64.8;47;2025-01-31
25;57;25;Thomas Peterffy;64.2;80;2025-01-31
26;24;26;Gautam Adani;56.9;62;2025-01-31
27;15;27;Zhong Shanshan;56.7;70;2025-01-31
28;50;28;Stephen Schwarzman;51.9;77;2025-01-31
29;48;29;Jeff Yass;49.6;66;2025-01-31
30;39;30;Tadashi Yanai;46.8;75;2025-01-31
31;26;31;Zhang Yiming;45.6;41;2025-01-31
32;36;32;Ken Griffin;44.1;56;2025-01-31
33;34;33;Ma Huateng;43.7;53;2025-01-31
34;495;34;Prajogo Pangestu;43.5;80;2025-01-31
35;31;35;Jacqueline Mars;43;85;2025-01-31
