"flex","font-normal","font-bold","flex 2","flex 3"
"4","erin","MCNEICE","GBR","3540"
"5","zélia","AVEZOU","FRA","3385"
"6","anon","MATSUFUJI","JPN","3075"
"7","miho","NONAKA","JPN","2915"
"8","melody","SEKIKAWA","JPN","2880"
"9","oceania","MACKENZIE","AUS","2815"
"10","naïlé","MEIGNAN","FRA","2650"
"11","agathe","CALLIET","FRA","2432.5"
"12","camilla","MORONI","ITA","2282.5"
"13","natalia","GROSSMAN","USA","1610"
"14","futaba","ITO","JPN","1598"
"15","chaehyun","SEO","KOR","1529.5"
"16","emma","EDWARDS","GBR","1525.5"
"17","kyra","CONDIE","USA","1484.8"
"18","jennifer eucharia","BUCKLEY","SLO","1449.5"
"19","giorgia","TESIO","ITA","1357"
"20","katja","DEBEVEC","SLO","1323.3"
"21","lily","ABRIAT","FRA","1259"
"22","ayala","KEREM","ISR","1160.5"
"23","afra","HÖNIG","GER","1157.5"
"24","chloe","CAULIER","BEL","1064.5"
"25","janja","GARNBRET","SLO","1000"
"26","madison","RICHARDSON","CAN","962.5"
"27","cloe","COSCOY","USA","938.1"
"28","yuetong","ZHANG","CHN","894.3"
"29","sofya","YOKOYAMA","SUI","822.8"
"30","anna maria","APEL","GER","805.8"
"31","geila","MACIÀ MARTÍN","ESP","768"
"32","nekaia","SANDERS","USA","733.5"
"33","adriene akiko","CLARK","USA","712"
"34","mashiro","KUZUU","JPN","680"
"35","helen","GILLETT","USA","646.5"
"36","ai","MORI","JPN","600"
"37","selma","ELHADJ MIMOUNE","FRA","569"
"38","lucile","SAUREL","FRA","545"
"39","lucija","TARKUS","SLO","522"
"40","stella","GIACANI","ITA","514.5"
"41","alma","BESTVATER","GER","487"
"42","zoe","PEETERMANS","GBR","456.5"
"43","martina","BURŠÍKOVÁ","SVK","431.6"
"44","flora","OBLASSER","AUT","411"
"45","maya","STASIUK","AUS","403.8"
"46","maya","DREAMER","ISR","348.5"
"47","kaho","MURAKOSHI","JPN","331"
"48","roxana","WIENAND","GER","319.2"
"49","zhilu","LUO","CHN","311.5"
"50","lea","KEMPF","AUT","301.3"
"51","sandra","LETTNER","AUT","293.3"
"52","giulia","MEDICI","ITA","292.7"
"53","valentina","AGUADO","ARG","291.5"
"54","andrea","KÜMIN","SUI","277"
"55","irina","DAZIANO","ITA","276.1"
"56","yejin","JUNG","KOR","267.2"
"57","fanny","GIBERT","FRA","251"
"58","anastasiia","KOBETS","UKR","250"
"59","jessica","PILZ","AUT","240"
"60","gayeong","OH","KOR","235.5"
"61","jacqueline","HO","CAN","228"
"62","anna","KELLEY","CAN","217"
"63","sara","COPAR","SLO","210"
"64","manami","YAMA","JPN","202"
"65","amber","SCHIFFELEERS","NED","189"
"66","babette","ROY","CAN","168.5"
"67","summer","FRASER","AUS","167"
"68","ievgeniia","KAZBEKOVA","UKR","162"
"69","laura","ROGORA","ITA","154.5"
"70","franziska","STERRER","AUT","141.5"
"71","claire","CHEFFINGS","AUS","132"
"72","miku","ISHII","JPN","124.3"
"73","yui","SUEZAWA","JPN","124"
"74","evangelina","BRIGGS","CAN","113"
"75","gayeon","CHO","KOR","112.5"
"76","ruby","DANZIGER","ISR","110"
"77","rose","WELLER","AUS","106"
"78","ingrid","KINDLIHAGEN","NOR","105.3"
"79","alejandra","CONTRERAS","CHI","96.8"
"80","quinn","MASON","USA","95"
"81","natsumi","HIRANO","JPN","92"
"82","stasa","GEJO","SRB","91"
"83","sarina","GHAFFARI","IRI","87"
"84","clea","HALL","AUS","85"
"84","lucia","DÖRFFEL","GER","85"
"86","mariana","HANGGI CORREIA","BRA","81.8"
"87","yajun","HUANG","CHN","79.9"
"88","michaela","SMETANOVA","CZE","79.5"
"89","martina","CASTRO","CHI","78"
"90","julia","BENACH ZUBERO","ESP","74.5"
"91","lisa","KLEM","NED","70"
"92","judith","CARROLL","AUS","69"
"93","kylie","CULLEN","USA","68"
"93","yejoo","SEO","KOR","68"
"95","natalie","GOH SIHUI","SGP","65.5"
"96","luna","ALVERNHE","FRA","65"
"97","ema","GALEOVA","CZE","64.5"
"98","hannah","MEUL","GER","61"
"99","lianet","CASTILLO","VEN","60"
"100","hung ying","LEE","TPE","58"
"100","marian kiara luna","MICHERI","ARG","58"
