"flex","font-normal","font-bold","flex 2","flex 3"
"4","dohyun","LEE","KOR","3600"
"5","shion","OMATA","JPN","2940"
"6","neo","SUZUKI","JPN","2900"
"7","yannick","FLOHÉ","GER","2650"
"8","toby","ROBERTS","GBR","2550"
"9","max","BERTONE","FRA","2410"
"10","filip","SCHENK","ITA","2345"
"11","sam","AVEZOU","FRA","2189"
"12","luka","POTOCAR","SLO","1742.5"
"13","jonas","UTELLI","SUI","1663"
"14","jesse","GRUPPER","USA","1615"
"15","sascha","LEHMANN","SUI","1510"
"16","giovanni","PLACCI","ITA","1415"
"17","colin","DUFFY","USA","1203"
"18","taisei","HOMMA","JPN","1185"
"19","zento","MURASHITA","JPN","1168.5"
"20","yufei","PAN","CHN","1057.5"
"21","hannes","VAN DUYSEN","BEL","960"
"22","martin","STRANIK","CZE","947"
"23","ao","YURIKUSA","JPN","935"
"24","hyunseung","NOH","KOR","848"
"25","muhammad","RIZKY SYAHRAFLI SIMATUPANG","INA","821.3"
"26","yannick","NAGEL","GER","803"
"27","yoshiyuki","OGATA","JPN","760"
"28","yuta","IMAIZUMI","JPN","755"
"29","kibeom","KWON","KOR","684"
"30","jakub","KONECNY","CZE","658"
"31","paul","JENFT","FRA","648"
"32","putra","TRI RAMADANI","INA","645"
"33","ties","VANCRAEYNEST","BEL","615"
"34","nino","GRÜNENFELDER","SUI","541.8"
"35","giorgio","TOMATIS","ITA","526.3"
"36","guillermo","PEINADO FRANGANILLO","ESP","524"
"37","shuta","TANAKA","JPN","505"
"37","masahiro","HIGUCHI","JPN","505"
"39","jules","MARCHALAND","FRA","480.8"
"40","hiroto","SHIMIZU","JPN","470"
"41","joaquin","URRUTIA","CHI","395"
"42","sebastian","HALENKE","GER","390.8"
"43","stefano","GHISOLFI","ITA","389.8"
"44","victor","GUILLERMIN","FRA","370.3"
"45","alexander","MEGOS","GER","350"
"46","oscar","BAUDRAND","CAN","339.5"
"47","mejdi","SCHALCK","FRA","315"
"48","younès","AUBERT MASMOUDI","FRA","309.5"
"49","nathan","SATO","USA","286"
"50","rhys","CONLON","GBR","271"
"51","dylan","SOIN","AUS","237.5"
"52","philipp","MARTIN","GER","233"
"53","raviandi","RAMADHAN","INA","222"
"54","shinyeong","YUN","KOR","220"
"55","chih-en","FAN","TPE","197.7"
"56","mototaka","ISHIZU","JPN","197.5"
"57","declan","OSGOOD","USA","194.3"
"58","jan","STIPEK","CZE","184.5"
"59","pierre","MARZULLO","FRA","183"
"60","christoph","HANKE","GER","168"
"61","nao","MONCHOIS","FRA","164.9"
"62","joshua","DAMASCO","AUS","161"
"63","riccardo","VICENTINI","ITA","146.5"
"64","joonha","SHIN","KOR","141"
"65","hugo","HOYER","USA","131"
"66","ross","FULKERSON","USA","130"
"67","louis","FECHOZ","AUS","121"
"68","yuval","SHEMLA","ISR","103"
"69","benjamin","VARGAS","CHI","97"
"70","hyunbin","MIN","KOR","95"
"71","jinwei","YAO","CHN","92"
"71","victor","BAUDRAND","CAN","92"
"71","fahim","KHANDEL","AUS","92"
"74","felipe","HO FOGANHOLO","BRA","91"
"75","sergey","LAKHNO","USA","89.8"
"76","stefan","SCHERZ","AUT","88.8"
"77","musauwir","MUSAUWIR","INA","86"
"78","darius","RÂPĂ","ROU","85.2"
"79","cruz","PADILLA","USA","82"
"79","ian","TAN","CAN","82"
"81","ravianto","RAMADHAN","INA","81"
"81","felix","MADER","AUT","81"
"83","simon","POTUCEK","CZE","80.8"
"84","hannes","PUMAN","SWE","74"
"85","malo","GILLY-EYDOUX","AUS","69"
"86","junzhe","HU","CHN","66"
"87","auswin","AUEAREECHIT","THA","64.8"
"88","ronny","ESCOBAR","CHI","59"
"89","lukas","MOKROLUSKY","CZE","56.8"
"90","hakjin","LEE","KOR","56"
"90","max","DINGER","GER","56"
"92","alejo","SUTER","ARG","51"
"93","jimi","SMYRK","AUS","50"
"94","matteo","REUSA","ITA","48"
"95","akyan","ETCHAR","FRA","45"
"95","samuel","BUTTERWORTH","GBR","45"
"97","lovro","ČREP","SLO","44.8"
"98","timo","UZNIK","AUT","44.5"
"99","yongchen","CHEN","CHN","44"
"100","dante","CABALLERO","CHI","38"
"101","radin","FOROUGHIAN","IRI","37"
"101","davide marco","COLOMBO","ITA","37"
"103","leyroy","HARLEY","AUS","35"
"104","milan","PRESKAR","SLO","34.5"
"105","nicolas","COLLIN","BEL","33"
"106","dohyeon","KIM","KOR","30.8"
"107","mikel asier","LINACISORO MOLINA","ESP","30.8"
"108","samuel carlos","DA SILVA","BRA","30"
"109","leo","AVEZOU","FRA","27.5"
"110","qun tao","KE","MAS","27"
"111","sam","HAMMOND","GBR","26"
"112","matias gabriel","MENDOZA","ARG","25"
"112","guoqing","NI","CHN","25"
"114","cheung-chi shoji","CHAN","HKG","24"
"114","dimitri","FLICK","SUI","24"
"116","arno","LUYPAERT","BEL","23"
"117","liam","ULLMAN","AUS","21"
"118","león","PINO","CHI","20"
"119","davide","TORRONI","SUI","19"
"120","gorazd","JUREKOVIC","SLO","18.5"
"121","rodrigo","IASI HANADA","BRA","18"
"122","martin","BERGANT","SLO","17"
"123","james","JENKINS","GBR","16.3"
"124","thor","VILLEGAS GARCÍA","MEX","16"
"124","nikolay","RUSEV","BUL","16"
"126","luke","GOH WEN BIN","SGP","15"
"126","sanghyeon","HAN","KOR","15"
"128","finn","ALTEMÖLLER","GER","14.7"
"129","azat","MAIKOTOV","KAZ","14"
"129","tzu-yu","CHOU","TPE","14"
"131","taher","ALHADDAD","KSA","12"
"131","wan tong","LOK","MAC","12"
