"flex","font-normal","font-bold","flex 2","flex 3"
"4","laura","ROGORA","ITA","3625"
"5","rosa","REKAR","SLO","2560"
"6","oceania","MACKENZIE","AUS","2240"
"7","jessica","PILZ","AUT","2107"
"8","janja","GARNBRET","SLO","2000"
"9","mia","KRAMPL","SLO","1885"
"10","heloïse","DOUMONT","BEL","1707.5"
"11","mei","KOTAKE","JPN","1635.5"
"12","camille","POUGET","FRA","1595"
"13","hélène","JANICOT","FRA","1568"
"14","manon","HILY","FRA","1566"
"15","mattea","PÖTZI","AUT","1510"
"16","ai","MORI","JPN","1495"
"17","natsuki","TANII","JPN","1490"
"18","chaeyeong","KIM","KOR","1392"
"18","zélia","AVEZOU","FRA","1392"
"20","brooke","RABOUTOU","USA","1300"
"21","sara","COPAR","SLO","1265"
"22","lynn","VAN DER MEER","NED","1084.5"
"23","zhilu","LUO","CHN","955"
"24","yuetong","ZHANG","CHN","950"
"25","flora","OBLASSER","AUT","945"
"26","julia","FISER","AUT","918"
"27","lucka","RAKOVEC","SLO","900"
"28","michaela","SMETANOVA","CZE","851.3"
"29","natsumi","ODA","JPN","830"
"30","geila","MACIÀ MARTÍN","ESP","769"
"31","jennifer eucharia","BUCKLEY","SLO","666.5"
"32","anna maria","APEL","GER","634"
"33","tomona","TAKAO","JPN","610"
"34","tereza","SIRUCKOVA","CZE","571.5"
"35","lucija","TARKUS","SLO","563"
"36","iziar","MARTÍNEZ ALMENDROS","ESP","535"
"37","ina","PLASSOUX DJIGA","FRA","524.5"
"38","ryu","NAKAGAWA","JPN","517"
"39","jain","KIM","KOR","485"
"40","adriene akiko","CLARK","USA","448"
"41","natsumi","HIRANO","JPN","409"
"42","ilaria","SCOLARIS","ITA","387.5"
"43","sukma","LINTANG CAHYANI","INA","375"
"44","valentina","AGUADO","ARG","331"
"45","kohana","MUGISHIMA","JPN","315"
"46","vita","LUKAN","SLO","313"
"47","camilla","MORONI","ITA","300"
"48","anja","KÖHLER","BRA","288"
"49","juha","KIM","KOR","287"
"50","julia","CHANOURDIE","FRA","280.5"
"51","anastasiia","KOBETS","UKR","277"
"52","zoe","PEETERMANS","GBR","275"
"53","maya","STASIUK","AUS","234"
"54","ievgeniia","KAZBEKOVA","UKR","230"
"55","yali","WEI","CHN","226.5"
"56","emily","SCOTT","AUS","215.5"
"57","miho","NONAKA","JPN","212.5"
"58","noa","SHIRAN","ISR","210.3"
"59","roxana","WIENAND","GER","203.3"
"60","mashiro","KUZUU","JPN","202"
"61","olivia","MA","USA","189"
"62","roxy","PERRY","AUS","157.3"
"63","futaba","ITO","JPN","155"
"64","eva maria","HAMMELMÜLLER","AUT","151.5"
"65","kyra","CONDIE","USA","151"
"66","maya","MADERE","USA","148.5"
"67","alejandra","CONTRERAS","CHI","141.5"
"68","aleksandra","TOTKOVA","BUL","129"
"69","cedar","PIDGEON","CAN","120.3"
"70","ines","SCHWAIGER","AUT","109"
"71","lana","SKUSEK","SLO","107"
"72","gayeon","CHO","KOR","105"
"73","ignacia","MELLADO QUINTEROS","CHI","103"
"74","zala","MLAKAR STARIC","SLO","94"
"75","xinwen","ZHU","CHN","92"
"76","camila","GONZALEZ","CHI","86"
"76","summer","FRASER","AUS","86"
"78","gayeong","OH","KOR","85"
"79","liv","EGLI","SUI","84"
"80","hung ying","LEE","TPE","77"
"81","seuran","HAN","KOR","73"
"82","ronja marlene","WITT","GER","65"
"83","ella","FISHER","USA","62.5"
"84","judith","CARROLL","AUS","62"
"85","sunniva","ØVRE-EIDE","NOR","60"
"86","hannah","MEUL","GER","58"
"87","yejoo","SEO","KOR","56"
"88","claudia","GHISOLFI","ITA","55"
"89","magdalena","KOMPEIN","AUT","54"
"90","momoka","MIYAJIMA","JPN","50"
"91","mao","NAKAMURA","JPN","48"
"91","chunhua","WU","CHN","48"
"91","saray","GARCIA","COL","48"
"94","martina","CASTRO","CHI","46"
"94","mai","KOBAYASHI","JPN","46"
"96","martina","DEMMEL","GER","43.5"
"97","molly","THOMPSON-SMITH","GBR","43"
"98","clea","HALL","AUS","42"
"98","vanessa si yinn","TENG","SGP","42"
"100","xuanzhen","CHEN","CHN","40"
"101","valeri","KREMER","ISR","39"
"101","clotilde","PFISTER","FRA","39"
"103","connie","BRIDGENS","GBR","38"
"104","nika","POTAPOVA","UKR","35"
"104","ai","TAKEUCHI","JPN","35"
"106","margarita","AGAMBAYEVA","KAZ","34"
"107","mia","GUTTENBERGER","GER","32"
"108","marian kiara luna","MICHERI","ARG","31"
"109","julia","BENACH ZUBERO","ESP","29.5"
"110","natalie","GOH SIHUI","SGP","29"
"111","katja","DEBEVEC","SLO","27"
"112","abi","LANCE","AUS","26"
"113","isabella","GARCIA","COL","24"
"114","nur","KHALISHAH","INA","22.5"
"115","lianet","CASTILLO","VEN","22"
"116","svana","BJARNASON","ISL","21"
"116","ting-chen","YAO","TPE","21"
"116","yubin","HONG","KOR","21"
"119","thea","CAMERON","GBR","20"
"120","lucia","DÖRFFEL","GER","19"
"120","zoe","YI","USA","19"
"120","zoé","EGLI","SUI","19"
"123","sana","OGURA","JPN","18"
"123","savina","NICELLI","ITA","18"
"123","iris","HEIKKINEN","FIN","18"
"123","ema","GALEOVA","CZE","18"
"127","pernille","TVEDT","NOR","17"
"128","noé","LOOSER","SUI","16"
"129","jisu","CHOI","KOR","15.5"
"130","nur diatul","JANNAH","INA","14"
"130","rowaida","ALERWI","KSA","14"
"130","lana","GORIC","SLO","14"
"133","sára","ŠIMEKOVÁ","SVK","13"
"133","mar''atus","SHOLEHA TRIANA PUTRI","INA","13"
"135","si wan","LEI","MAC","12"
"135","emma","BERNHARD","GER","12"
"135","esti","TWEG","AUS","12"
"138","taqiyya","NUR AZIZA","INA","11.3"
"139","zihan","HUANG","CHN","11"
"139","shin yee","CHEN","MAS","11"
"139","lana","BONNAL","FRA","11"
"139","ayala","KEREM","ISR","11"
"139","quinn","MASON","USA","11"
"139","anastasiia","LUKASHYNA","UKR","11"
"139","hei kiu heidi","WONG","HKG","11"
"146","melissa esther","CHEN CHEN","PER","10.5"
"147","tegwen","OATES","RSA","10"
"147","joëlle","NIEDERBERGER","SUI","10"
"149","tseng-shun","WONG","HKG","9"
"149","matilde","CABEZAS","CHI","9"
"149","lynnette","KOH SIOK HENG","SGP","9"
"149","puntarika","TUNYAVANICH","THA","9"
"153","yajun","HUANG","CHN","8"
"153","victoria","YSRAEL","GUM","8"
"153","kylie","BAKER","GUM","8"
"153","marketa","JANOSOVA","CZE","8"
"153","bianca","DE MAGALHAES DE CASTRO","BRA","8"
"158","yongshan","HUANG","CHN","7"
"158","najiha","ZAHRA","INA","7"
"158","karla","ZRINSKI","CRO","7"
"158","caiya","TAYLOR AINSLIE","CAN","7"
"158","viola","BATTISTELLA","ITA","7"
"163","yun-shan","HSIEH","TPE","6"
"163","olivia","OGIER","USA","6"
"163","molly","DREHER","CAN","6"
"163","lucía","SEMPERE GONZÁLEZ","ESP","6"
"163","sofia","PARRADO","COL","6"
"168","anja","SANTINI MIKULIĆ","CRO","5.5"
"169","jiaxuan","YANG","CHN","5"
"169","shareen","MOHD NASRAN","MAS","5"
"169","maría fernanda","GONZÁLEZ RÁMIREZ","MEX","5"
"169","mariana","HANGGI CORREIA","BRA","5"
"169","emily charlote","PESCETTO BUDDEN","ESP","5"
"169","valentina","ARNOLDI","ITA","5"
"169","louna","DESHAYES","FRA","5"
"169","emmelie","CONDERS","NOR","5"
"177","sarah","FEICHTENSCHLAGER","AUT","4"
"177","tahani","ALGOUHI","KSA","4"
"179","paula","TRAVERSO LEBRÓN","ESP","3"
"179","caitlin","BOUWER","RSA","3"
"179","analía","DOMÍNGUEZ CRISTERNA","MEX","3"
"179","sienna","CHOW","CAN","3"
"179","noor","WITTE","NED","3"
"179","kaïna","VIVIAND","FRA","3"
"185","macarena del valle","SANCHEZ","ARG","2"
"185","melis","PEHLIVAN","TUR","2"
"185","maría josé","ESTRADA","MEX","2"
"185","mariam","DE LA VEGA","MEX","2"
"189","danai","VALSAMIDI","GRE","1.5"
"190","maia linda","DAVIES","RSA","1"
"190","violeta","TONINI","ARG","1"
