"rank","r-name","r-name-sub","score","detail-box","detail-box 2","detail-box 3","detail-box 4","detail-box 5","detail-box 6"
"1","Oriane BERTONE","FRA","4375","805","805","610","1000","350","805"
"2","Annie SANDERS","USA","4290","1000","1000","690","300","805","495"
"3","Mao NAKAMURA","JPN","3805","495","610","610","1000","545","545"
"4","Erin MCNEICE","GBR","3540","337.5","690","690","610","1000","212.5"
"5","Zélia AVEZOU","FRA","3385","545","805","240","805","610","380"
"6","Anon MATSUFUJI","JPN","3075","610","325","455","520","475","690"
"7","Miho NONAKA","JPN","2915","545","545","495","380","690","260"
"8","Melody SEKIKAWA","JPN","2880","280","495","545","690","415","455"
"9","Oceania MACKENZIE","AUS","2815","690","455","415","455","325","475"
"10","Naïlé MEIGNAN","FRA","2650","805","300","1000","545","",""
"11","Agathe CALLIET","FRA","2432.5","495","260","300","805","260","312.5"
"12","Camilla MORONI","ITA","2282.5","137.5","690","325","220","300","610"
"13","Natalia GROSSMAN","USA","1610","1000","610","","","",""
"14","Futaba ITO","JPN","1598","380","163","145","495","415",""
"15","Chaehyun SEO","KOR","1529.5","455","170","455","100","89.5","260"
"16","Emma EDWARDS","GBR","1525.5","25.5","350","520","220","260","150"
"17","Kyra CONDIE","USA","1484.83","109","270.83","280","240","205","380"
"18","Jennifer Eucharia BUCKLEY","SLO","1449.5","380","350","455","52","212.5",""
"19","Giorgia TESIO","ITA","1357","220","39.5","350","155","177.5","415"
"20","Katja DEBEVEC","SLO","1323.33","185","280","120","270.83","155","312.5"
"21","Lily ABRIAT","FRA","1259","155","350","325","170","150","109"
"22","Ayala KEREM","ISR","1160.5","337.5","233","240","350","",""
"23","Afra HÖNIG","GER","1157.5","290","112.5","300","205","100","150"
"24","Chloe CAULIER","BEL","1064.5","137.5","139","220","220","280","68"
"25","Janja GARNBRET","SLO","1000","1000","","","","",""
"26","Madison RICHARDSON","CAN","962.5","39.5","185","325","105","68","240"
"27","Cloe COSCOY","USA","938.08","270.83","380","185","14.75","52","35.5"
"28","Yuetong ZHANG","CHN","894.33","205","88","270.83","31.5","280","19"
"29","Sofya YOKOYAMA","SUI","822.75","155","178.75","105","170","84","130"
"30","Anna Maria APEL","GER","805.83","415","270.83","120","0","",""
"31","Geila MACIÀ MARTÍN","ESP","768","415","205","0","65","83",""
"32","Nekaia SANDERS","USA","733.5","130","84","415","52","25.5","27"
"33","Adriene Akiko CLARK","USA","712","250","105","52","130","20","155"
"34","Mashiro KUZUU","JPN","680","380","170","130","","",""
