"rank","r-name","r-name-sub","score","detail-box","detail-box 2","detail-box 3","detail-box 4","detail-box 5","detail-box 6","detail-box 7","detail-box 8","detail-box 9","detail-box 10","detail-box 11","detail-box 12","detail-box 13","detail-box 14","detail-box 15","detail-box 16","detail-box 17","detail-box 18","detail-box 22","detail-box 23","detail-box 36"
"1","Sorato ANRAKU","JPN","6000","805","(",")","610","(",")","1000","260","(",")","275","(",")","126","(",")","1000","1000","1000","1000","1000"
"2","Dohyun LEE","KOR","5155","415","(",")","220","(",")","1000","690","(",")","455","(",")","610","(",")","805","1000","805","545","1000"
"3","Toby ROBERTS","GBR","4085","240","(",")","155","(",")","1000","7","(",")","155","(",")","","","","690","240","1000","805","350"
"4","Mejdi SCHALCK","FRA","2925","350","(",")","435","(",")","145","545","(",")","495","(",")","495","(",")","170","805","1000","805",""
"5","Sam AVEZOU","FRA","2705","240","(",")","229","(",")","690","300","(",")","155","(",")","73.33","(",")","325","545","300","495","350"
"6","Yufei PAN","CHN","2618","100","(",")","24","(",")","203","59.5","(",")","120","(",")","","","","545","545","1000","195","130"
"7","Hannes VAN DUYSEN","BEL","2545","105","(",")","240","(",")","350","280","(",")","145","(",")","","","","495","545","690","185","280"
"8","Colin DUFFY","USA","2488","177.5","(",")","33.33","(",")","610","9","(",")","","","","","","","455","220","48","545","610"
"9","Satone YOSHIDA","JPN","2400","155","(",")","350","(",")","39.5","159","(",")","610","(",")","610","(",")","25.5","35","1000","610","690"
"10","Max BERTONE","FRA","2085","155","(",")","53","(",")","495","185","(",")","170","(",")","260","(",")","805","290","495","",""
"11","Paul JENFT","FRA","2053","89.5","(",")","435","(",")","610","260","(",")","300","(",")","","","","455","455","495","14","24"
"12","Yannick FLOHÉ","GER","1805","415","(",")","350","(",")","545","185","(",")","","","","","","","610","105","545","",""
"13","Filip SCHENK","ITA","1589.66","280","(",")","240","(",")","16","108","(",")","95","(",")","300","(",")","48.66","455","380","690",""
"14","Luka POTOCAR","SLO","1390","48","(",")","128","(",")","0","59.5","(",")","280","(",")","","","","115","495","325","455",""
"15","Sascha LEHMANN","SUI","1339.5","7","(",")","6","(",")","380","205","(",")","240","(",")","3","(",")","280","137.5","300","30","212"
"16","Jonas UTELLI","SUI","1274","84","(",")","153","(",")","240","145","(",")","155","(",")","240","(",")","3","156","380","495",""
"17","Yoshiyuki OGATA","JPN","1036.16","","","","","","","185","","","","","","","","","","89.5","495","106.66","80","80"
"18","Guillermo PEINADO FRANGANILLO","ESP","1001","56","(",")","11.5","(",")","184","9","(",")","31.5","(",")","24","(",")","82","325","150","105","155"
"19","Oscar BAUDRAND","CAN","820.5","52","(",")","42","(",")","205","10.5","(",")","28.5","(",")","48.66","(",")","137.5","111","114","240","13"
"20","Martin STRANIK","CZE","712","64","(",")","63","(",")","260","130","(",")","15","(",")","","","","20","2","130","300",""
"21","Hyunseung NOH","KOR","708","42","(",")","73","(",")","35.5","73","(",")","","","","","","","300","1","11.5","240","120"
"22","Yannick NAGEL","GER","569.75","48","(",")","95","(",")","14.75","105","(",")","","","","","","","130","240","185","",""
"23","Nicolas COLLIN","BEL","545.75","0","(",")","1","(",")","56","27","(",")","24","(",")","0.4","(",")","19","280","105","78.75","7"
"24","Nikolay RUSEV","BUL","541.83","137.5","(",")","81","(",")","16","25.5","(",")","89.5","(",")","0","(",")","35","177.5","170","143.33",""
