"rank","r-name","r-name-sub","score","detail-box","detail-box 2","detail-box 3","detail-box 4","detail-box 5","detail-box 6","detail-box 7","detail-box 8","detail-box 9","detail-box 10","detail-box 11","detail-box 12","detail-box 13","detail-box 14","detail-box 15","detail-box 16","detail-box 23","detail-box 24"
"1","Annie SANDERS","USA","5300","690","(",")","690","1000","1000","690","(",")","690","(",")","300","(",")","805","805","1000"
"2","Erin MCNEICE","GBR","4972.5","495","(",")","690","690","902.5","337.5","(",")","545","(",")","610","(",")","1000","1000","690"
"3","Chaehyun SEO","KOR","3877.5","380","(",")","455","455","902.5","610","(",")","170","(",")","100","(",")","805","260","1000"
"4","Zélia AVEZOU","FRA","3430","545","(",")","545","170","805","98","(",")","69","(",")","166","(",")","805","610","495"
"5","Oceania MACKENZIE","AUS","3320","300","(",")","610","690","455","415","(",")","455","(",")","325","(",")","545","545","475"
"6","Janja GARNBRET","SLO","3000","","","","1000","1000","1000","","","","","","","","","","","",""
"7","Laura ROGORA","ITA","2661.5","415","(",")","52","89.5","300","280","(",")","300","(",")","13","(",")","610","805","805"
"8","Jessica PILZ","AUT","2305","42","(",")","805","1000","240","","","","","","","","","","260","",""
"9","Mao NAKAMURA","JPN","2268","495","(",")","48","610","610","350","(",")","132","(",")","170","(",")","1000","",""
"10","Ai MORI","JPN","2095","","","","805","415","690","","","","","","","","","","185","",""
"11","Miho NONAKA","JPN","1992.5","206","(",")","545","545","690","495","(",")","380","(",")","260","(",")","212.5","",""
"12","Camilla MORONI","ITA","1925","137.5","(",")","205","95","690","34","(",")","68","(",")","220","(",")","325","610",""
"13","Jennifer Eucharia BUCKLEY","SLO","1834.5","52","(",")","260","380","350","212.5","(",")","17","(",")","","","","300","455","89.5"
"14","Yuetong ZHANG","CHN","1705.83","88","(",")","455","205","270.83","31.5","(",")","19","(",")","","","","495","280",""
"15","Futaba ITO","JPN","1445","163","(",")","155","380","495","145","(",")","","","","","","","415","",""
"16","Anna Maria APEL","GER","1420.83","19","(",")","415","270.83","415","0","(",")","","","","","","","120","95","105"
