"rank","r-name","r-name-sub","score","detail-box","detail-box 2","detail-box 6","detail-box 10","detail-box 11"
"1","Sorato ANRAKU","JPN","4730","805","1000","1000","380","1000"
"2","Satone YOSHIDA","JPN","3870","350","610","1000","610","610"
"3","Alberto GINÉS LÓPEZ","ESP","3680","690","690","690","805","805"
"4","Dohyun LEE","KOR","3600","415","805","545","455","380"
"5","Shion OMATA","JPN","2940","610","690","275","455","415"
"6","Neo SUZUKI","JPN","2900","805","495","1000","145","455"
"7","Yannick FLOHÉ","GER","2650","545","415","610","545","350"
"8","Toby ROBERTS","GBR","2550","1000","240","805","155","350"
"9","Max BERTONE","FRA","2410","495","185","805","495","170"
"10","Filip SCHENK","ITA","2345","280","240","455","380","690"
"11","Sam AVEZOU","FRA","2189","690","545","229","155","350"
"12","Luka POTOCAR","SLO","1742.5","128","495","59.5","325","455"
"13","Jonas UTELLI","SUI","1663","240","153","380","155","495"
"14","Jesse GRUPPER","USA","1615","280","280","415","260","380"
"15","Sascha LEHMANN","SUI","1510","380","280","300","205","240"
"16","Giovanni PLACCI","ITA","1415","120","300","260","280","130"
"17","Colin DUFFY","USA","1203","48","545","610","",""
"18","Taisei HOMMA","JPN","1185","95","415","325","350",""
"19","Zento MURASHITA","JPN","1168.5","350","325","260","28.5","205"
"20","Yufei PAN","CHN","1057.5","203","545","59.5","120","130"
"21","Hannes VAN DUYSEN","BEL","960","350","185","280","145",""
"22","Martin STRANIK","CZE","947","260","64","63","130","130"
"23","Ao YURIKUSA","JPN","935","455","380","100","",""
"24","Hyunseung NOH","KOR","848","42","73","300","73","240"
"25","Muhammad RIZKY SYAHRAFLI SIMATUPANG","INA","821.3","37","415","300","4.5","64.8"
"26","Yannick NAGEL","GER","803","48","130","95","240","185"
"27","Yoshiyuki OGATA","JPN","760","185","495","80","",""
"28","Yuta IMAIZUMI","JPN","755","300","455","","",""
"29","Kibeom KWON","KOR","684","325","260","9","63","27"
"30","Jakub KONECNY","CZE","658","170","73","415","",""
"31","Paul JENFT","FRA","648","610","14","24","",""
"32","Putra TRI RAMADANI","INA","645","205","220","220","",""
