"rank","r-name","r-name-sub","score","detail-box 4","detail-box 5","detail-box 6","detail-box 7","detail-box 8"
"1","Erin MCNEICE","GBR","4437.5","545","902.5","1000","690","690"
"2","Annie SANDERS","USA","4420","690","690","690","545","805"
"3","Chaehyun SEO","KOR","4267.5","610","902.5","805","495","1000"
"4","Laura ROGORA","ITA","3625","415","610","610","805","380"
"5","Rosa REKAR","SLO","2560","495","325","415","610","220"
"6","Oceania MACKENZIE","AUS","2240","610","300","545","545","240"
"7","Jessica PILZ","AUT","2107","805","1000","42","260",""
"8","Janja GARNBRET","SLO","2000","1000","1000","","",""
"9","Mia KRAMPL","SLO","1885","325","240","380","455","120"
"10","Heloïse DOUMONT","BEL","1707.5","155","240","337.5","455","105"
"11","Mei KOTAKE","JPN","1635.5","95","350","203","337.5","350"
"12","Camille POUGET","FRA","1595","300","145","60","220","545"
"13","Hélène JANICOT","FRA","1568","220","380","133","455","380"
"14","Manon HILY","FRA","1566","350","71","300","300","545"
"15","Mattea PÖTZI","AUT","1510","455","220","280","280","155"
"16","Ai MORI","JPN","1495","805","690","","",""
"17","Natsuki TANII","JPN","1490","120","185","275","170","325"
"18","Chaeyeong KIM","KOR","1392","42","220","300","350","325"
"18","Zélia AVEZOU","FRA","1392","545","170","98","495","84"
"20","Brooke RABOUTOU","USA","1300","610","690","","",""
"21","Sara COPAR","SLO","1265","240","205","157","350","240"
"22","Lynn VAN DER MEER","NED","1084.5","84","260","188","155","185"
"23","Zhilu LUO","CHN","955","415","18","280","185","27"
"24","Yuetong ZHANG","CHN","950","455","495","","",""
"25","Flora OBLASSER","AUT","945","280","170","495","",""
"26","Julia FISER","AUT","918","63","130","95","205","280"
"27","Lucka RAKOVEC","SLO","900","415","205","280","",""
"28","Michaela SMETANOVA","CZE","851.33","84","73.33","185","380","73"
"29","Natsumi ODA","JPN","830","48","63","159","130","260"
"30","Geila MACIÀ MARTÍN","ESP","769","56","73","455","185",""
"31","Jennifer Eucharia BUCKLEY","SLO","666.5","260","300","17","89.5",""
"32","Anna Maria APEL","GER","634","415","95","19","105",""
"33","Tomona TAKAO","JPN","610","185","325","100","",""
"34","Tereza SIRUCKOVA","CZE","571.5","0","260","220","15","59.5"
"35","Lucija TARKUS","SLO","563","145","37","11","130","240"
"36","Iziar MARTÍNEZ ALMENDROS","ESP","535","63","170","57","150","95"
"37","Ina PLASSOUX DJIGA","FRA","524.5","170","30","130","89.5","57"
"38","Ryu NAKAGAWA","JPN","517","52","205","260","",""
"39","Jain KIM","KOR","485","120","365","","",""
"40","Adriene Akiko CLARK","USA","448","19","18","52","84","240"
"41","Natsumi HIRANO","JPN","409","19","260","130","",""
"42","Ilaria SCOLARIS","ITA","387.5","35","155","155","14","14.5"
"43","Sukma LINTANG CAHYANI","INA","375","185","63","25.5","59.5","42"
"44","Valentina AGUADO","ARG","331","42","250","9","6","24"
"45","Kohana MUGISHIMA","JPN","315","145","170","","",""
"46","Vita LUKAN","SLO","313","73","15","105","120",""
"47","Camilla MORONI","ITA","300","205","95","","",""
"48","Anja KÖHLER","BRA","288","21","72","27","33","120"
"49","Juha KIM","KOR","287","205","33","13","6","30"
"50","Julia CHANOURDIE","FRA","280.5","37","14.5","83","109","37"
"51","Anastasiia KOBETS","UKR","277","95","84","35","63",""
"52","Zoe PEETERMANS","GBR","275","145","12","109","9",""
"53","Maya STASIUK","AUS","234","9","225","","",""
"54","Ievgeniia KAZBEKOVA","UKR","230","230","","","",""
"55","Yali WEI","CHN","226.5","8","126","18","56","6"
"56","Emily SCOTT","AUS","215.5","17","10.5","10","7","12"
"57","Miho NONAKA","JPN","212.5","212.5","","","",""
"58","Noa SHIRAN","ISR","210.33","105","8","73.33","7","9"
"59","Roxana WIENAND","GER","203.33","73.33","130","","",""
"60","Mashiro KUZUU","JPN","202","27","145","30","",""
"61","Olivia MA","USA","189","189","","","",""
"62","Roxy PERRY","AUS","157.33","24","11.33","3","2","0"
"63","Futaba ITO","JPN","155","155","","","",""
"64","Eva Maria HAMMELMÜLLER","AUT","151.5","36","42","39.5","21","13"
"65","Kyra CONDIE","USA","151","151","","","",""
"66","Maya MADERE","USA","148.5","145","3.5","","",""
"67","Alejandra CONTRERAS","CHI","141.5","124","3","7","7.5",""
"68","Aleksandra TOTKOVA","BUL","129","3","105","21","",""
"69","Cedar PIDGEON","CAN","120.33","11","59","14","11.33","8"
"70","Ines SCHWAIGER","AUT","109","56","30","12","11",""
"71","Lana SKUSEK","SLO","107","24","83","","",""
"72","Gayeon CHO","KOR","105","105","","","",""
"73","Ignacia MELLADO QUINTEROS","CHI","103","103","","","",""
"74","Zala MLAKAR STARIC","SLO","94","11","0","83","",""
"75","Xinwen ZHU","CHN","92","80","12","","",""
"76","Camila GONZALEZ","CHI","86","86","","","",""
