"rank","r-name","r-name-sub","score","detail-box","detail-box 2","detail-box 3","detail-box 4","detail-box 5","detail-box 6"
"1","Kiromal KATIBIN","INA","4255","690","690","690","805","380","1000"
"2","Samuel WATSON","USA","3684","380","610","1000","4","1000","690"
"3","Amir MAIMURATOV","KAZ","3080","805","415","325","545","495","495"
"4","Jianguo LONG","CHN","2852","32","1000","545","350","545","380"
"5","Ryo OMASA","JPN","2810","205","240","805","690","455","415"
"6","Zach HAMMER","USA","2646","155","380","6","610","690","805"
"7","Matteo ZURLONI","ITA","2460","610","205","495","455","415","280"
"8","Raharjati NURSAMSA","INA","2310","350","610","1000","350","",""
"9","Shouhong CHU","CHN","2119","9","545","495","220","240","610"
"10","Erik NOYA CARDONA","ESP","1796","300","161","260","205","610","260"
"11","Yaroslav TKACH","UKR","1745","455","455","350","170","170","145"
"12","Veddriq LEONARDO","INA","1640","545","205","455","280","155",""
"13","Hryhorii ILCHYSHYN","UKR","1520","56","805","380","95","84","100"
"14","Leander CARMANNS","GER","1384","84","495","260","545","",""
"15","Rishat KHAIBULLIN","KAZ","1319","134","380","805","","",""
"16","Jie YANG","CHN","1251","105","280","11","300","205","350"
"17","Michael HOM","USA","1196","415","325","1","455","",""
"18","Ludovico FOSSALI","ITA","1150","95","275","145","260","220","155"
"19","Xu LI","CHN","1135","325","185","325","300","",""
"20","Xinshang WANG","CHN","1000","1000","","","","",""
"21","Beknur ALTYNBEKOV","KAZ","928","48","48","240","240","27","325"
"22","Reza ALIPOUR SHENAZANDIFARD","IRI","890","185","170","415","120","",""
"23","Sebastian LUCKE","GER","822","220","130","300","42","130",""
"24","Peng WU","CHN","795","495","300","","","",""
"25","Gian Luca ZODDA","ITA","776","84","95","84","48","280","185"
"26","Luca ROBBIATI","ITA","771","21","105","170","105","130","240"
"27","Kostiantyn PAVLENKO","UKR","708","240","104","84","280","",""
"28","Kevin AMON","AUT","702","42","120","205","145","95","95"
"29","Alfian MUHAMMAD FAJRI","INA","688","170","155","30","155","73","105"
"30","Pierre REBREYEND","FRA","643","220","73","300","5","45",""
"31","Shuto FUJINO","JPN","603","7","0","415","120","48","13"
