"rank","r-name","r-name-sub","score","detail-box","detail-box 5","detail-box 6","detail-box 7","detail-box 8"
"1","Yafei ZHOU","CHN","3885","1000","380","805","545","545"
"2","Aleksandra MIROSLAW","POL","3185","495","1000","690","1000",""
"3","Emma HUNT","USA","3105","610","805","690","1000",""
"4","Natalia KALUCKA","POL","3020","275","455","380","610","495"
"5","Desak MADE RITA KUSUMA DEWI","INA","2932","37","545","545","1000","805"
"6","Jimin JEONG","KOR","2910","545","805","610","495","455"
"7","Lijuan DENG","CHN","2776","610","71","690","495","220"
"8","Shaoqin ZHANG","CHN","2595","495","105","1000","280","220"
"9","Yumei QIN","CHN","1920","350","415","610","545",""
"10","Giulia RANDI","ITA","1444","114","205","105","325","280"
"11","Mengli ZHANG","CHN","1415","300","350","350","415",""
"12","Beatrice COLLI","ITA","1373","68","240","380","260","100"
"13","Patrycja CHUDZIAK","POL","1323","178","185","300","155","205"
"14","Shixue MENG","CHN","1302","300","415","37","95","455"
"15","Susan NURHIDAYAH","INA","1235","455","105","415","130","130"
"16","Hanareum SUNG","KOR","1225","260","170","455","185","155"
"17","Tamara ULZHABAYEVA","KAZ","1188","415","207","48","95","73"
"18","Leslie Adriana ROMERO PÉREZ","ESP","1178","63","325","170","240","100"
"19","Rajiah SALLSABILLAH","INA","1155","805","350","","",""
"20","Sophia CURCIO","USA","1063","325","88","120","240","120"
"21","Piper KELLY","USA","1022","145","27","145","205","120"
"22","Isis ROTHFORK","USA","992","63","84","220","105","300"
"23","Puja LESTARI","INA","988","280","73","205","260","170"
"24","Adi Asih KADEK","INA","883","690","8","185","",""
"25","Aleksandra KALUCKA","POL","835","455","380","","",""
"26","Capucine VIGLIONE","FRA","819","280","325","76","138",""
"27","Shengyan WANG","CHN","690","690","","","",""
"28","Agnese FIORIO","ITA","672","73","155","155","56","138"
"29","Andrea ROJAS","ECU","622","250","7","105","260",""
"30","Alivany VER KHADIJAH","INA","610","350","260","","",""
"30","Karin HAYASHI","JPN","610","300","0","33","120","73"
"32","Mi YANG","CHN","565","325","240","","",""
"33","Daria TKACHOVA","UKR","430","145","73","27","19","11"
"33","Feiyan YANG","CHN","430","260","170","","",""
"35","Ren KOYAMATSU","JPN","418","240","0","145","33",""
"36","Xinyue SHI","CHN","410","280","130","","",""
"37","Anna BROZEK","POL","393","130","84","42","56","5"
"37","Jimin HWANG","KOR","393","220","95","63","8","7"
"39","Carla MARTÍNEZ VIDAL","ESP","388","30","240","14","59","45"
"40","Julia KOCH","GER","383","205","56","42","33","21"
"41","Nurul IQAMAH","INA","380","380","","","",""
"42","Narda Mutia AMANDA","INA","356","56","300","","",""
"43","Liberty RUNNELS","USA","281","124","37","120","",""
"44","Valeria MACIAS FERREIRA","MEX","255","63","7","185","",""
"45","Madi WALSH","USA","235","30","205","","",""
"46","Guizhen XIE","CHN","220","220","","","",""
"47","Anahí RIVEROS","CHI","196","173","17","6","",""
"47","Anna BALARSHINA","KAZ","196","30","11","10","145",""
"49","Manon LEBON","FRA","195","15","145","35","",""
"50","Fumika KAWAKAMI","JPN","190","170","20","","",""
"51","Micaela PATAJO","USA","189","59","130","","",""
"52","Heeju NOH","KOR","185","185","","","",""
"52","Berthdigna Devi Surya KUSUMA","INA","185","185","","","",""
"54","Dasom YUN","KOR","182","155","27","","",""
"55","Louise FONTAINE","FRA","158","84","48","26","",""
"56","Youjin CHA","KOR","130","130","","","",""
"57","Abby GEBERT","NZL","128","105","12","11","",""
"58","Lily NGUYEN","USA","122","17","105","","",""
"59","Sarah TETZLAFF","NZL","120","120","","","",""
"60","Sara STROCCHI","ITA","111","13","63","0","35",""
"61","Emiko TAKEUCHI","USA","99","15","84","","",""
"62","Aleya MORIN","CAN","97","24","73","","",""
"63","Nawoo CHOI","KOR","95","95","","","",""
"63","Aninda QALBI ARSYILAH","INA","95","95","","","",""
"65","Eilin TAN","SGP","84","84","0","","",""
"66","Yena PI","KOR","75","42","33","","",""
"66","Jorja RANGI","NZL","75","37","21","9","8",""
"68","Nele THOMAS","GER","72","13","59","","",""
"69","Cho Wing Jasmiki LAM","HKG","69","48","0","21","",""
"70","Mahya DARABIAN","IRI","61","24","37","","",""
"71","Johanna NAGL","AUT","59","30","18","11","",""
"71","Tegwen OATES","RSA","59","42","17","","",""
"73","Heesu YANG","KOR","56","56","","","",""
"74","Polina KHALKEVYCH","UKR","48","48","","","",""
"75","Yuju MOU","CHN","43","43","","","",""
"76","Carmen CONTRERAS","CHI","36","36","","","",""
"77","Sabrina SYARIFAH CALIDRIS","INA","30","30","","","",""
"78","Eva-Lina RYMASZ","FRA","27","27","","","",""
"79","Ambre ECAILLE","FRA","24","24","","","",""
"80","Martyna STOKOWIEC","POL","21","21","0","0","",""
"81","Aniya HOLDER","RSA","19","19","","","",""
"81","Magdalena BLACHNICKA","POL","19","19","0","","",""
"83","Erica PISCOPO","ITA","18","0","18","","",""
"83","Ava HAMILTON","GBR","18","0","11","7","0","0"
"85","Sarah VOUAUX","FRA","17","17","","","",""
"86","Natalia BIBRO","POL","14","14","0","0","",""
"87","Sabrina BAUMGARTNER","VEN","11","0","11","","",""
"88","Karolina PTAK","POL","10","10","0","","",""
"89","Maria SZWED","POL","9","0","9","0","0",""
"89","Elise VILLENEUVE","CAN","9","9","","","",""
"89","Sienna CHOW","CAN","9","9","","","",""
"92","Shivpreet PANNU","IND","8","0","8","","",""
"93","Arianna MORTARINO","ITA","5","0","5","","",""
