ID;User_ID;Rank_2024_01;Person;net_worth_in_BillionUSD_2024_01;Age_of_person_2024_01;
1;1;1;Bernard Arnault and family;212,0;74;
2;2;2;Elon Musk;198,4;52;
3;3;3;Jeff Bezos;193,8;60;
4;16;4;Mark Zuckerberg;167,2;39;
5;4;5;Larry Ellison;143,7;79;
6;5;6;Warren Buffett;128,7;93;
7;6;7;Bill Gates;124,0;68;
8;10;8;Steve Ballmer;120,5;67;
9;12;9;Larry Page;119,3;50;
10;14;10;Sergey Brin;114,4;50;
11;9;11;Mukesh Ambani;112,1;66;
12;13;12;Amancio Ortega;100,1;87;
13;8;13;Carlos Slim Helu and family;100,0;84;
14;11;14;Francoise Bettencourt Meyers and family;98,1;70;
15;7;15;Michael Bloomberg;96,3;81;
16;24;16;Gautam Adani;79,5;61;
17;23;17;Michael Dell;73,2;58;
18;3125;18;Jim Walton and family;70,0;75;
19;20;19;Rob Walton and family;69,2;79;
20;21;20;Alice Walton;65,1;74;
21;22;21;David Thomson and family;62,8;66;
22;15;22;Zhong Shanshan;60,4;69;
23;18;23;Julia Koch and family;60,2;61;
24;76;24;Jensen Huang;58,6;60;
25;17;25;Charles Koch and family;54,9;88;
26;27;26;Dieter Schwarz;46,1;84;
27;45;27;Colin Huang;43,9;44;
28;26;28;Zhang Yiming;43,4;40;
29;25;29;Phil Knight and family;40,5;85;
30;32;30;John Mars;39,8;88;
31;31;30;Jacqueline Mars;39,8;84;
32;30;32;Giovanni Ferrero;39,4;59;
33;37;33;Mark Mateschitz;39,3;31;
34;39;34;Tadashi Yanai and family;39,0;74;
35;50;35;Stephen Schwarzman;37,3;76;
36;502;36;Prajogo Pangestu;37,2;79;
37;36;37;Ken Griffin;37,1;55;
38;41;38;Alain Wertheimer;36,5;75;
39;42;38;Gerard Wertheimer;36,5;73;
40;33;40;Li Ka-shing;36,2;95;
41;55;41;Shiv Nadar;35,5;78;
42;60;42;MacKenzie Scott;34,8;53;
43;35;43;Miriam Adelson and family;33,5;78;
44;29;44;Klaus-Michael Kuehne;33,4;86;
45;40;45;Len Blavatnik;32,0;66;
46;53;46;William Ding;31,5;52;
47;34;47;Ma Huateng;30,8;52;
48;49;48;Jim Simons;30,7;85;
49;52;49;Gina Rinehart;30,6;69;
50;43;50;Gianluigi Aponte;30,4;83;
51;44;50;Rafaela Aponte-Diamant;30,4;78;
52;57;52;Thomas Peterffy;30,2;79;
53;96;53;Savitri Jindal and family;29,5;73;
54;73;54;Leonid Mikhelson and family;29,0;68;
55;28;55;Francois Pinault and family;29,0;87;
56;48;56;Jeff Yass;28,9;65;
57;54;57;German Larrea Mota Velasco and family;28,8;70;
58;46;58;Reinhold Wuerth and family;28,5;88;
59;72;59;Abigail Johnson;28,4;62;
60;56;60;Low Tuck Kwong;27,5;75;
61;47;61;Lee Shau Kee;27,0;96;
62;176;62;Eduardo Saverin;26,3;41;
63;70;63;Vladimir Lisin;26,0;67;
64;61;64;R. Budi Hartono;25,9;83;
65;92;65;Daniel Gilbert;25,9;62;
66;71;66;Emmanuel Besnier;25,5;53;
67;184;67;Vinod Adani;25,4;75;
68;89;68;Harold Hamm and family;25,2;78;
69;68;69;Cyrus Poonawalla;25,1;82;
70;65;70;Iris Fontbona and family;25,1;81;
71;3126;71;Thomas Frist Jr and family;25,1;85;
72;58;72;Andrey Melnichenko and family;25,0;51;
73;91;73;Gennady Timchenko;25,0;71;
74;66;74;Michael Hartono;24,8;84;
75;59;75;Stefan Quandt;24,8;57;
76;74;76;Lukas Walton;24,7;37;
77;63;77;Jack Ma;24,4;59;
78;3127;78;Andrew and Nicola Forrest;24,0;62;
79;69;79;Masayoshi Son;24,0;66;
80;51;80;Susanne Klatten;23,7;61;
81;112;81;Dilip Shanghvi;23,7;68;
82;80;82;Vagit Alekperov;23,7;73;
83;3128;83;John Menard Jr;23,5;84;
84;64;84;He Xiangjian and family;22,8;81;
85;62;85;Vladimir Potanin;22,3;63;
