ID;User_ID;Table_rank_2022;Person;net_worth_in_BillionUSD_2024_02;Age_of_person_2024_02
1;1;1;Bernard Arnault and family;229,6;74
2;2;2;Elon Musk;210;52
3;3;3;Jeff Bezos;197,7;60
4;16;4;Mark Zuckerberg;172,5;39
5;4;5;Larry Ellison;139,9;79
6;5;6;Warren Buffett;134,7;93
7;6;7;Bill Gates;128,1;68
8;10;8;Steve Ballmer;122,8;67
9;12;9;Larry Page;116,3;50
10;9;10;Mukesh Ambani;114,4;66
11;14;11;Sergey Brin;111,8;50
12;7;12;Michael Bloomberg;106,2;82
13;13;13;Amancio Ortega;102,9;87
14;8;14;Carlos Slim Helu and family;101,4;84
15;11;15;Francoise Bettencourt Meyers and family;96,9;70
16;24;16;Gautam Adani;83,6;61
17;3125;17;Jim Walton and family;76,9;75
18;23;18;Michael Dell;76,3;59
19;20;19;Rob Walton and family;76;79
20;21;20;Alice Walton;70,8;74
21;76;21;Jensen Huang;69,9;61
22;15;22;Zhong Shanshan;65,9;69
23;22;23;David Thomson and family;64,9;66
24;18;24;Julia Koch and family;61;61
25;17;25;Charles Koch and family;55,7;88
26;45;26;Colin Huang;43,9;44
27;26;27;Zhang Yiming;43,4;40
28;29;28;Klaus-Michael Kuehne;43,1;86
29;25;29;Phil Knight and family;42,4;86
30;39;30;Tadashi Yanai and family;41,6;75
31;502;31;Prajogo Pangestu;41,6;79
32;30;32;Giovanni Ferrero;39,4;59
33;37;33;Mark Mateschitz;39,2;31
34;27;34;Dieter Schwarz;38,7;84
35;32;35;John Mars;38,6;88
36;31;35;Jacqueline Mars;38,6;84
37;36;37;Ken Griffin;38,3;55
38;42;38;Gerard Wertheimer;38,2;73
39;41;38;Alain Wertheimer;38,2;75
40;50;40;Stephen Schwarzman;38,1;77
41;55;41;Shiv Nadar;37,1;78
42;33;42;Li Ka-shing;37;95
43;35;43;Miriam Adelson and family;36,2;78
44;60;44;MacKenzie Scott;35,8;53
45;57;45;Thomas Peterffy;34,2;79
46;53;46;William Ding;34,1;52
47;46;47;Reinhold Wuerth and family;33,6;88
48;40;48;Len Blavatnik;32,5;66
49;28;49;Francois Pinault and family;31,9;87
50;34;50;Ma Huateng;30,7;52
51;49;51;Jim Simons;30,7;85
52;96;52;Savitri Jindal and family;30,4;73
53;52;53;Gina Rinehart;30,1;70
54;44;54;Rafaela Aponte-Diamant;29,7;78
55;43;54;Gianluigi Aponte;29,7;83
56;72;56;Abigail Johnson;29,5;62
57;73;57;Leonid Mikhelson and family;29;68
58;48;58;Jeff Yass;28,9;65
59;69;59;Masayoshi Son;28,1;66
60;47;60;Lee Shau Kee;27,8;96
61;74;61;Lukas Walton;27,5;37
62;59;62;Stefan Quandt;27,4;57
63;56;63;Low Tuck Kwong;27,3;75
64;176;64;Eduardo Saverin;27,1;41
65;54;65;German Larrea Mota Velasco and family;27;70
66;184;66;Vinod Adani;27;75
67;80;67;Vagit Alekperov;26,5;73
68;51;68;Susanne Klatten;26,5;61
69;112;69;Dilip Shanghvi;26,1;68
70;70;70;Vladimir Lisin;26;67
71;92;71;Daniel Gilbert;26;62
72;61;72;R. Budi Hartono;25,8;83
