ID;User_ID;Table_rank_2024_04;Person;net_worth_in_BillionUSD_2024_04;Age_of_person_2024_04;Date
1;1;1;Bernard Arnault and family;209,4;75;2024-04-30
2;2;2;Elon Musk;199,6;52;2024-04-30
3;3;3;Jeff Bezos;193,3;60;2024-04-30
4;16;4;Mark Zuckerberg;151,2;39;2024-04-30
5;4;5;Larry Ellison;142,8;79;2024-04-30
6;12;6;Larry Page;135,4;51;2024-04-30
7;5;7;Warren Buffett;131;93;2024-04-30
8;14;8;Sergey Brin;129,9;50;2024-04-30
9;6;9;Bill Gates;127;68;2024-04-30
10;10;10;Steve Ballmer;117,1;68;2024-04-30
11;9;11;Mukesh Ambani;115,8;67;2024-04-30
12;7;12;Michael Bloomberg;106,2;82;2024-04-30
13;13;13;Amancio Ortega;105,5;88;2024-04-30
14;8;14;Carlos Slim Helu and family;99,7;84;2024-04-30
15;11;15;Francoise Bettencourt Meyers and family;95,4;70;2024-04-30
16;23;16;Michael Dell;93,9;59;2024-04-30
17;24;17;Gautam Adani;81,1;61;2024-04-30
18;3125;18;Jim Walton and family;77,6;75;2024-04-30
19;20;19;Rob Walton and family;76,6;79;2024-04-30
20;76;20;Jensen Huang;76;61;2024-04-30
21;21;21;Alice Walton;71,5;74;2024-04-30
22;15;22;Zhong Shanshan;67,3;69;2024-04-30
23;22;23;David Thomson and family;66;66;2024-04-30
24;18;24;Julia Koch and family;66;62;2024-04-30
25;17;25;Charles Koch and family;60;88;2024-04-30
26;502;26;Prajogo Pangestu;59,7;79;2024-04-30
27;45;27;Colin Huang;44,1;44;2024-04-30
28;26;28;Zhang Yiming;43,4;40;2024-04-30
29;30;29;Giovanni Ferrero;42,9;59;2024-04-30
30;29;30;Klaus-Michael Kuehne;40;86;2024-04-30
31;32;31;John Mars;39,2;88;2024-04-30
32;31;31;Jacqueline Mars;39,2;84;2024-04-30
33;25;33;Phil Knight and family;38,8;86;2024-04-30
34;37;34;Mark Mateschitz;38,8;31;2024-04-30
35;39;35;Tadashi Yanai and family;38,6;75;2024-04-30
36;34;36;Ma Huateng;37,5;52;2024-04-30
37;33;37;Li Ka-shing;36,9;95;2024-04-30
