User_ID;Table_rank_2022;Name;net_worth_in_BillionUSD_2022;Age_of_person_2022
2;1;Elon Musk;219,00;50
3;2;Jeff Bezos;171,00;58
1;3;Bernard Arnault and family;158,00;73
6;4;Bill Gates;129,00;66
5;5;Warren Buffett;118,00;91
12;6;Larry Page;111,00;49
14;7;Sergey Brin;107,00;48
4;8;Larry Ellison;106,00;77
10;9;Steve Ballmer;91,40;66
9;10;Mukesh Ambani;90,70;64
2642;11;Gautam Adani and family;90,00;59
7;12;Michael Bloomberg;82,00;80
8;13;Carlos Slim Helu and family;81,20;82
11;14;Francoise Bettencourt Meyers and family;74,80;68
16;15;Mark Zuckerberg;67,30;37
19;16;Jim Walton;66,20;73
15;17;Zhong Shanshan;65,70;67
21;18;Alice Walton;65,30;72
2643;19;Rob Walton;65,00;77
169;19;Changpeng Zhao;65,00;44
2644;21;Charles Koch;60,00;86
18;21;Julia Koch and family;60,00;59
13;23;Amancio Ortega;59,60;86
23;24;Michael Dell;55,10;57
26;25;Zhang Yiming;50,00;38
22;26;David Thomson and family;49,20;64
25;27;Phil Knight and family;47,30;84
27;28;Dieter Schwarz;47,10;82
38;29;Robin Zeng;44,80;53
60;30;MacKenzie Scott;43,60;51
2646;31;Rodolphe Saade and family;41,40;52
28;32;Francois Pinault and family;40,40;85
29;33;Klaus-Michael Kuehne;37,30;84
34;34;Ma Huateng;37,20;50
2647;35;Beate Heister and Karl Albrecht Jr. and family;36,80;64
30;36;Giovanni Ferrero;36,20;57
33;37;Li Ka-shing;34,80;93
50;37;Stephen Schwarzman;34,80;75
47;39;Lee Shau Kee;32,60;94
40;40;Len Blavatnik;32,50;64
31;41;Jacqueline Mars;31,70;82
32;41;John Mars;31,70;86
41;43;Alain Wertheimer;31,20;73
42;43;Gerard Wertheimer;31,20;71
54;45;German Larrea Mota Velasco and family;30,80;68
52;46;Gina Rinehart;30,20;68
55;47;Shiv Nadar;28,70;76
49;48;Jim Simons;28,60;83
2649;49;He Xiangjian;28,30;79
2650;50;Miriam Adelson;27,50;76
2651;51;Dietrich Mateschitz;27,40;77
2652;52;Leonardo Del Vecchio and family;27,30;86
36;53;Ken Griffin;27,20;53
39;54;Tadashi Yanai and family;26,10;73
2653;55;William Lei Ding;25,20;50
51;56;Susanne Klatten;24,30;59
68;56;Cyrus Poonawalla;24,30;80
75;56;Wang Wei;24,30;51
87;59;Qin Yinglin;24,10;56
2654;60;Sam Bankman-Fried;24,00;30
78;61;Takemitsu Takizaki;23,90;76
2655;62;Li Shufu;23,70;58
71;63;Emmanuel Besnier;23,50;51
61;64;R. Budi Hartono;23,20;81
77;65;Leonard Lauder;23,10;89
322;66;Guillaume Pousaz;23,00;40
65;67;Iris Fontbona and family;22,80;79
63;67;Jack Ma;22,80;57
66;69;Michael Hartono;22,30;82
105;70;Eric Schmidt;22,10;66
83;71;Ray Dalio;22,00;72
92;71;Daniel Gilbert;22,00;60
81;73;Thomas Frist  Jr. and family;21,80;83
69;74;Masayoshi Son;21,30;64
72;75;Abigail Johnson;21,20;60
99;76;Rupert Murdoch and family;20,80;91
59;77;Stefan Quandt;20,70;55
76;78;Jensen Huang;20,60;59
115;79;Huang Shilin;20,30;55
57;80;Thomas Peterffy;20,10;77
114;81;Radhakishan Damani;20,00;67
107;82;Pang Kang;19,60;66
88;83;Wang Chuanfu;19,50;56
46;84;Reinhold Wuerth and family;19,00;86
101;85;Theo Albrecht  Jr. and family;18,70;71
255;85;Yang Huiyan and family;18,70;40
70;87;Vladimir Lisin;18,40;65
2657;88;Fan Hongwei and family;18,20;55
93;89;Lakshmi Mittal;17,90;71
82;90;Andrew Forrest;17,80;60
143;91;Jiang Rensheng and family;17,70;68
96;91;Savitri Jindal and family;17,70;72
85;91;Wang Wenyin;17,70;54
103;94;Li Xiting;17,60;71
104;94;Stefan Persson;17,60;74
94;96;Steve Cohen;17,40;65
62;97;Vladimir Potanin;17,30;61
89;98;Harold Hamm and family;17,20;76
194;99;Sun Piaoyang;17,10;63
197;100;Luo Liguo and family;17,00;66
111;100;Peter Woo;17,00;75
2658;102;Gianluigi and Rafaela Aponte;16,80;81
90;103;David Tepper;16,70;64
102;104;Renata Kellnerova and family;16,60;54
98;104;John Menard  Jr.;16,60;82
124;106;Kumar Birla;16,50;54
95;106;Carl Icahn;16,50;86
2659;106;Hank and Doug Meijer;16,50;64
74;106;Lukas Walton;16,50;35
145;110;Laurene Powell Jobs and family;16,40;58
67;111;James Ratcliffe;16,30;69
97;112;Donald Bren;16,20;89
120;113;Xu Hang;16,10;55
136;114;Lu Xiangyang;15,70;59
112;115;Dilip Shanghvi;15,60;66
121;116;Wei Jianjun and family;15,50;58
110;117;Jorge Paulo Lemann and family;15,40;82
86;117;Eyal Ofer;15,40;71
171;119;Mike Cannon-Brookes;15,30;42
181;119;Wu Yajun;15,30;58
119;121;Charlene de Carvalho-Heineken and family;15,20;67
106;121;Michael Platt;15,20;54
148;123;Pavel Durov;15,10;37
179;123;Scott Farquhar;15,10;42
2660;125;Pallonji Mistry;15,00;92
142;126;Dang Yanbao;14,80;49
113;127;Robert Pera;14,60;44
164;128;Donald Newhouse;14,40;92
138;129;Uday Kotak;14,30;63
125;130;Aliko Dangote;14,00;64
2662;130;Leonid Mikhelson;14,00;66
2663;132;Sunil Mittal and family;13,90;64
2664;133;Robert and Philip Ng;13,70;64
151;134;Liu Hanyuan;13,65;58
135;135;Joseph Lau;13,60;70
314;135;Anders Holch Povlsen;13,60;49
116;137;Dhanin Chearavanont;13,50;82
159;138;Gong Hongjia and family;13,20;57
183;138;Liu Yongxing;13,20;73
2665;138;Alexey Mordashov;13,20;56
254;138;Wang Jianlin;13,20;67
173;142;David Duffield;12,90;81
241;142;Li Zhenguo and family;12,90;54
137;144;Harry Triguboff;12,80;89
160;144;Zhang Zhidong;12,80;50
128;146;Chen Bang;12,70;56
224;146;John Doerr;12,70;70
2666;146;Hinduja brothers;12,70;64
126;149;Kwong Siu-hing;12,60;92
228;150;Pei Zhenhua;12,50;63
163;151;Ricardo Salinas Pliego and family;12,40;66
203;152;Jim Pattison;12,20;93
213;152;Charles Schwab;12,20;84
123;154;Goh Cheng Liang;12,10;94
2667;154;Lin Jianhua and family;12,10;59
118;156;Charoen Sirivadhanabhakdi;12,00;77
48;156;Jeff Yass;12,00;63
130;158;John Fredriksen;11,90;77
149;158;Andreas Struengmann and family;11,90;72
150;158;Thomas Struengmann and family;11,90;72
140;161;Mikhail Fridman;11,80;57
141;161;Sarath Ratanavadi;11,80;56
146;163;Robert Kuok;11,70;98
192;163;Lei Jun;11,70;52
281;163;Zhang Congyuan;11,70;74
129;166;Lui Che Woo;11,60;93
206;167;Brian Chesky;11,50;40
153;167;Israel Englander;11,50;73
226;167;Dustin Moskovitz;11,50;37
122;167;Alisher Usmanov;11,50;68
429;171;Jay Chaudhry;11,40;62
155;171;Anthony Pratt;11,40;61
2668;173;Colin Zheng Huang;11,30;42
196;173;Jin Baofang;11,30;69
227;173;Pierre Omidyar;11,30;54
91;173;Gennady Timchenko;11,30;69
172;177;Carl Cook;11,10;59
2669;177;Andrey Melnichenko;11,10;50
2670;179;Xing Wang;11,00;43
161;180;Philip Anschutz;10,90;82
215;180;David Cheriton;10,90;71
217;180;Alexander Otto;10,90;54
131;183;Diane Hendricks;10,70;75
139;183;Stanley Kroenke;10,70;74
133;185;Jerry Jones;10,60;79
180;185;Quek Leng Chan;10,60;80
176;185;Eduardo Saverin;10,60;40
80;188;Vagit Alekperov;10,50;71
225;188;Richard Liu;10,50;48
127;188;Idan Ofer;10,50;66
189;191;Melker Schorling and family;10,40;74
239;192;Chase Coleman III;10,30;46
2674;192;Shuirong Li;10,30;65
247;192;Stefano Pessina;10,30;80
156;192;Mikhail Prokhorov;10,30;56
2675;192;Marcel Herrmann Telles;10,30;72
232;197;Leon Black;10,10;70
293;197;Joe Gebbia;10,10;40
284;197;David Geffen;10,10;79
746;197;Yu Renrong;10,10;56
170;201;Andrew Beal;9,90;69
134;201;George Kaiser;9,90;79
279;201;Qi Shi and family;9,90;52
403;201;Luis Carlos Sarmiento;9,90;89
238;201;Andreas von Bechtolsheim and family;9,90;66
132;206;Jan Koum;9,80;46
734;206;Jorge Moll Filho and family;9,80;77
212;206;Azim Premji;9,80;76
220;206;Finn Rausing;9,80;67
221;206;Jorn Rausing;9,80;62
222;206;Kirsten Rausing;9,80;69
363;206;Wang Laisheng;9,80;57
2676;213;Tom and Judy Love;9,70;64
469;214;John Collison;9,50;31
470;214;Patrick Collison;9,50;33
359;214;Gordon Moore;9,50;93
316;214;Wang Laichun;9,50;54
233;218;Graeme Hart;9,40;66
245;218;Zheng Shuliang and family;9,40;76
290;220;Cao Renxian;9,30;53
261;221;Nathan Blecharczyk;9,20;38
207;221;James Dyson;9,20;74
216;223;Ivan Glasenberg;9,10;65
541;223;Kim Beom-su;9,10;56
271;223;Jay Y. Lee;9,10;53
286;223;Liu Yonghao and family;9,10;70
240;227;Ann Walton Kroenke;9,00;73
371;227;Li Ping;9,00;54
267;227;Eric Wittouck;9,00;75
2677;230;Ian and Richard Livingstone;8,90;64
193;230;Friedhelm Loh;8,90;75
374;230;Xavier Niel;8,90;54
231;230;Michael Otto;8,90;78
158;230;Johann Rupert and family;8,90;71
1003;235;Hui Ka Yan;8,80;63
346;235;Pauline MacMillan Keinath;8,80;88
2678;235;Herbert Kohler  Jr. and family;8,80;83
460;235;Li Ge;8,80;55
253;235;Kushal Pal Singh;8,80;90
324;235;Zong Qinghou;8,80;76
437;241;Cai Kui;8,70;59
915;241;Charles Ergen;8,70;69
406;241;Gao Jifan and family;8,70;57
263;241;Bernard Marcus;8,70;92
243;241;Nicky Oppenheimer and family;8,70;76
2679;246;Bajaj brothers;8,60;64
3137;246;Ernest Garcia II;8,60;64
2680;246;Paul Xiaoming Lee and family;8,60;64
378;246;George Soros;8,60;91
219;246;Wang Liping and family;8,60;56
204;251;Ernesto Bertarelli;8,50;56
327;251;Tamara Gustavson;8,50;60
236;251;Carlos Alberto Sicupira and family;8,50;74
256;254;Laurent Dassault;8,40;68
257;254;Thierry Dassault;8,40;65
259;254;Marie-Helene Habert-Dassault;8,40;57
348;254;Liu Jincheng and family;8,40;57
2681;254;Ma Jianrong and family;8,40;58
309;254;Steven Rales;8,40;71
297;254;Joseph Tsai;8,40;58
248;254;Francine von Finck and family;8,40;64
218;254;Anthony von Mandl;8,40;72
397;263;Carl Bennet;8,30;70
165;263;Robert Kraft;8,30;80
564;263;Chairul Tanjung;8,30;59
237;263;Manuel Villar;8,30;72
282;267;Jean-Michel Besnier;8,20;54
283;267;Marie Besnier Beauvalot;8,20;41
412;267;Gustaf Douglas;8,20;84
367;267;Kjeld Kirk Kristiansen;8,20;74
368;267;Sofie Kirk Kristiansen;8,20;46
369;267;Thomas Kirk Kristiansen;8,20;43
147;267;Stephen Ross;8,20;81
380;267;Agnete Kirk Thinggaard;8,20;38
332;275;Marc Benioff;8,10;57
333;275;Dmitri Bukhman;8,10;36
334;275;Igor Bukhman;8,10;40
249;275;Francis Choi;8,10;74
553;275;Murali Divi and family;8,10;71
270;275;Nancy Walton Laurie;8,10;70
177;275;Georg Schaeffler;8,10;57
280;275;Yao Liangsong;8,10;57
298;275;Zhong Huijuan;8,10;61
2683;284;Stewart and Lynda Resnick;8,00;64
252;284;George Roberts;8,00;78
152;284;Michael Rubin;8,00;49
264;284;Patrick Ryan;8,00;84
366;288;Christopher Hohn;7,90;55
198;288;Marijke Mars;7,90;57
199;288;Pamela Mars;7,90;61
200;288;Valerie Mars;7,90;63
201;288;Victoria Mars;7,90;65
235;288;Hasso Plattner and family;7,90;78
275;288;Georg Stumpf;7,90;49
178;288;Christy Walton;7,90;73
157;296;Giorgio Armani;7,80;87
430;296;Gopikishan Damani;7,80;64
2684;296;Ding Shizhong and family;7,80;51
242;296;Jim Kennedy;7,80;74
250;296;German Khan;7,80;60
328;296;Liang Wengen;7,80;65
244;296;Blair Parry-Okeden;7,80;71
441;296;Tsai Eng-meng;7,80;65
2685;304;Bajaj siblings;7,70;64
336;304;Ashwin Dani and family;7,70;79
301;304;Ding Shijia;7,70;58
260;304;Karel Komarek;7,70;53
303;304;Henry Kravis;7,70;78
329;304;Frederik Paulsen;7,70;71
2686;304;Safra siblings;7,70;64
310;304;Nassef Sawiris;7,70;61
382;304;Xu Shihui;7,70;64
383;313;Rahel Blocher;7,60;46
144;313;Shahid Khan;7,60;71
373;313;Magdalena Martullo-Blocher;7,60;53
202;316;Vincent Bollore and family;7,50;70
174;316;Jeffery Hildebrand;7,50;63
